idx,type_id,x,y,z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,yaw_deg,flags,byte_offset,byte_size
31,1006238451,41.85170,13.01751,0.50000,0.00000,0.00000,1.00000,-0.61792,-0.78624,0.00000,-128.16,1,3771,101
32,-1533673853,39.81477,11.78800,0.51000,0.00000,0.00000,1.00000,-0.96373,0.26689,0.00000,164.52,7,3873,99
33,-1533673853,41.42600,19.45268,0.51000,0.00000,0.00000,1.00000,-0.50427,0.86355,0.00000,120.28,7,3973,99
34,-1533673853,39.99145,13.65737,0.51000,0.00000,0.00000,1.00000,-0.58352,-0.81210,0.00000,-125.70,7,4073,99
35,-1533673853,41.80757,20.65782,0.51000,0.00000,0.00000,1.00000,-0.90421,0.42710,0.00000,154.72,7,4173,99
36,-1533673853,0.95821,-7.67872,-2.34554,0.00487,0.00161,0.99999,0.84670,0.53204,-0.00498,32.14,7,4273,114
37,-1533673853,3.30677,5.50440,-1.97889,-0.05114,-0.07742,0.99569,0.97560,-0.21703,0.03323,-12.54,7,4388,114
38,-1533673853,1.33958,22.05242,-2.26092,-0.00974,-0.02910,0.99953,0.92614,-0.37717,-0.00196,-22.16,7,4503,114
39,-1533673853,1.49402,10.67955,-3.30261,0.00571,-0.00300,0.99998,0.65697,0.75391,-0.00149,48.93,7,4618,114
40,-1533673853,0.83353,-0.86256,-1.47046,0.01510,-0.00722,0.99986,0.53963,0.84190,-0.00207,57.34,7,4733,114
41,-1533673853,-1.86814,-5.09142,-2.42727,0.00555,-0.00139,0.99998,0.97546,0.22010,-0.00511,12.71,7,4848,114
42,-1533673853,3.58895,16.71265,-3.43187,-0.05860,0.02661,0.99793,0.91353,-0.40166,0.06435,-23.73,7,4963,114
43,-1533673853,3.69271,21.77754,-2.12445,0.02066,-0.02802,0.99939,0.96686,0.25498,-0.01284,14.77,7,5078,114
44,-1533673853,-4.57364,-0.66877,-1.88849,-0.00000,0.00000,1.00000,0.79757,0.60322,-0.00000,37.10,7,5193,114
45,-1533673853,34.31655,5.62172,-1.56396,0.00000,0.00000,1.00000,-0.88433,0.46686,0.00000,152.17,7,5308,114
46,-1533673853,33.36594,11.52600,-1.55860,0.00003,0.12116,0.99263,-0.97466,0.22205,-0.02707,167.17,7,5423,114
47,-1533673853,43.03472,22.94370,0.51000,0.00000,0.00000,1.00000,-0.99780,0.06633,0.00000,176.20,7,5538,99
48,-1533673853,32.84772,19.90809,0.06226,0.01941,0.00710,0.99979,-0.93884,0.34398,0.01579,159.88,7,5638,114
49,-1533673853,28.22935,17.81585,-1.14619,-0.00137,0.00137,1.00000,-0.93240,-0.36141,-0.00078,-158.81,7,5753,114
50,-1533673853,25.98918,3.54591,0.22001,-0.00000,-0.00000,1.00000,-0.99992,0.01256,-0.00000,179.28,7,5868,114
51,-1533673853,30.41037,5.95914,-1.53505,0.00000,0.00000,1.00000,-0.40308,0.91516,0.00000,113.77,7,5983,99
52,-1533673853,-5.06330,14.28986,-1.20101,-0.00162,0.01798,0.99984,0.72487,0.68879,-0.01121,43.54,7,6083,114
53,-1533673853,-5.09316,7.13155,-2.80330,-0.00244,-0.00021,1.00000,0.65968,0.75154,0.00177,48.72,7,6198,114
54,-1533673853,6.11319,16.60070,-3.58746,-0.00244,0.03173,0.99949,0.94387,0.33023,-0.00818,19.28,7,6313,114
55,-1533673853,1.42133,-5.14976,-2.18231,0.03749,0.06194,0.99738,0.51764,-0.85494,0.03364,-58.81,7,6428,114
56,-1533673853,-6.32714,0.64297,-1.88849,-0.00000,0.00000,1.00000,0.94371,0.33078,-0.00000,19.32,7,6543,114
57,-1533673853,2.34726,23.32038,-2.23671,-0.03902,0.00007,0.99924,0.90270,-0.42882,0.03528,-25.41,7,6658,114
58,-1533673853,33.07686,8.39153,-1.56396,0.00000,0.00000,1.00000,-0.40351,0.91498,0.00000,113.80,7,6773,114
59,-1533673853,31.42311,14.34737,0.12593,0.00094,-0.00329,0.99999,-0.97604,-0.21761,0.00020,-167.43,7,6888,114
60,-1533673853,34.29945,23.07686,-0.88245,-0.01441,0.02891,0.99948,-0.99964,0.02203,-0.01505,178.74,7,7003,114
61,-1533673853,30.10415,12.42614,-1.56040,-0.00351,0.00176,0.99999,-0.83209,-0.55463,-0.00195,-146.31,7,7118,114
62,-1533673853,0.45377,13.61883,-3.52083,-0.04806,0.01950,0.99865,0.94144,0.33496,0.03876,19.59,7,7233,114
63,-1533673853,10.02269,-6.32379,-3.60139,-0.01253,0.01163,0.99985,0.81459,-0.57978,0.01695,-35.44,7,7348,114
64,-1533673853,13.69524,24.79424,-1.48953,0.00000,0.00000,1.00000,0.76691,-0.64175,0.00000,-39.92,7,7463,99
65,-1533673853,9.30993,29.62369,-1.89473,0.07415,-0.18590,0.97977,0.64843,-0.73744,-0.18900,-48.67,7,7563,114
66,-1533673853,-4.61664,17.79347,-1.21646,-0.00162,0.01798,0.99984,0.98104,0.19379,-0.00190,11.17,7,7678,114
67,-1533673853,5.78718,-1.37728,-1.27289,0.00000,-0.00000,1.00000,0.97846,-0.20644,-0.00000,-11.91,7,7793,114
68,-1533673853,12.95028,20.12289,-4.00345,-0.08622,0.05474,0.99477,0.96973,-0.22435,0.09640,-13.03,7,7908,114
69,-1533673853,3.59240,7.44585,-1.93455,0.00000,0.00000,1.00000,0.97664,-0.21487,-0.00000,-12.41,7,8023,114
70,-1533673853,35.57647,24.02746,-0.87918,-0.08100,0.05602,0.99514,-0.85149,-0.52285,-0.03988,-148.45,7,8138,114
71,-1533673853,31.73763,20.34993,-1.15119,-0.04670,-0.04028,0.99810,-0.97337,-0.22268,-0.05453,-167.11,7,8253,114
72,-1533673853,26.58496,13.83157,-0.27238,-0.08907,0.06631,0.99382,-0.90815,0.40437,-0.10837,156.00,7,8368,114
73,-1533673853,24.62971,18.59190,-2.85793,-0.00927,-0.03243,0.99943,-0.78241,-0.62215,-0.02745,-141.51,7,8483,114
74,-1533673853,23.64439,17.11963,-2.81877,-0.00411,-0.05597,0.99842,-0.96351,0.26746,0.01102,164.49,7,8598,114
75,-1533673853,12.46902,-19.20660,-3.09000,0.00000,0.00000,1.00000,-0.15236,0.98833,0.00000,98.76,7,8713,99
76,-1533673853,32.84742,0.32521,0.21000,0.00000,-0.00000,1.00000,-0.36409,-0.93137,-0.00000,-111.35,7,8813,114
77,-1533673853,28.71805,-5.02917,-1.99000,0.00000,0.00000,1.00000,-0.75303,-0.65799,0.00000,-138.85,7,8928,114
78,-1533673853,25.85023,-16.34176,-0.89010,0.00000,0.00000,1.00000,-0.06631,0.99780,0.00000,93.80,7,9043,99
79,-1533673853,25.88961,-17.40865,-0.89010,0.00000,0.00000,1.00000,-0.80937,0.58730,0.00000,144.03,7,9143,99
80,-1533673853,35.79586,0.72284,0.21000,0.00000,-0.00000,1.00000,0.07413,0.99725,0.00000,85.75,7,9243,114
81,-1533673853,15.72828,-16.38942,-4.19010,0.00000,0.00000,1.00000,-0.43957,0.89821,0.00000,116.08,7,9358,99
82,-1533673853,28.61398,26.15643,-1.69688,0.00000,0.00000,1.00000,-0.86022,0.50992,0.00000,149.34,7,9458,99
83,-1533673853,17.23098,-22.09440,-3.09010,0.00000,0.00000,1.00000,-0.19212,0.98137,0.00000,101.08,7,9558,99
84,-1533673853,22.63831,-21.88860,-3.09010,0.00000,0.00000,1.00000,-0.43957,0.89821,0.00000,116.08,7,9658,99
85,-1533673853,22.38729,-24.65312,-0.89000,0.00000,0.00000,1.00000,-0.50000,0.86603,0.00000,120.00,7,9758,99
86,-1533673853,18.36762,-24.53355,-0.89000,0.00000,0.00000,1.00000,0.25882,0.96593,0.00000,75.00,7,9858,99
87,-1533673853,22.39430,-18.98314,-3.09010,0.00000,0.00000,1.00000,-0.70711,-0.70711,0.00000,-135.00,7,9958,99
88,-1533673853,27.08391,-21.13286,-3.00796,0.00000,-0.00000,1.00000,0.33183,0.94334,0.00000,70.62,7,10058,114
89,-1533673853,27.09229,-18.58291,-3.00796,0.00000,-0.00000,1.00000,0.33183,0.94334,0.00000,70.62,7,10173,114
90,-1533673853,25.44147,-23.46187,-0.89000,0.00000,0.00000,1.00000,0.33183,0.94334,0.00000,70.62,7,10288,99
91,-1533673853,11.64655,-23.98620,-2.19000,0.00000,0.00000,1.00000,0.51048,0.85989,0.00000,59.30,7,10388,99
92,-1533673853,24.32507,29.56108,-2.65717,-0.24034,-0.03941,0.96989,-0.90416,-0.35444,-0.23845,-158.59,7,10488,114
93,-1533673853,17.68573,29.21412,-3.31948,0.00000,0.00000,1.00000,-0.88478,-0.46601,0.00000,-152.22,7,10603,114
94,-1533673853,11.82803,30.13353,-3.31948,0.00000,-0.00000,1.00000,0.74258,-0.66976,-0.00000,-42.05,7,10718,114
95,-1533673853,11.87363,27.49474,-2.08685,-0.00000,-0.00000,1.00000,-0.60765,-0.79421,-0.00000,-127.42,7,10833,114
96,-1533673853,10.24389,-1.07511,-2.16895,-0.00000,0.00000,1.00000,0.85956,-0.51104,0.00000,-30.73,7,10948,114
97,-1533673853,5.68505,25.10709,-2.02609,0.00167,-0.00111,1.00000,0.75246,-0.65864,-0.00199,-41.20,7,11063,114
98,-1533673853,-2.32742,12.23590,-3.15908,0.06438,0.01033,0.99787,0.99539,0.07053,-0.06495,4.05,7,11178,114
99,-1533673853,5.10150,12.27784,-3.30065,-0.00113,-0.00227,1.00000,0.49688,0.86782,0.00253,60.21,7,11293,114
100,-1533673853,7.72374,2.36476,-1.90154,0.00000,-0.00287,1.00000,0.49688,0.86782,0.00249,60.21,7,11408,114
101,-1533673853,10.81981,7.66084,-1.93651,0.00000,0.00000,1.00000,0.94497,0.32717,-0.00000,19.10,7,11523,114
102,-1533673853,10.93869,2.34382,-1.90113,0.00000,0.00000,1.00000,-0.05997,0.99820,0.00000,93.44,7,11638,99
103,-1533673853,6.29016,-4.67664,-1.27289,0.00000,0.00000,1.00000,0.93419,0.35679,-0.00000,20.90,7,11738,114
104,-1533673853,4.88212,-10.59059,-1.75693,0.00294,-0.14675,0.98917,0.88787,0.45548,0.06493,27.16,7,11853,114
105,-1533673853,22.39525,3.76076,-2.53406,0.00000,0.00000,1.00000,-0.12658,-0.99196,0.00000,-97.27,7,11968,114
106,-1533673853,16.70028,1.36656,-2.54618,0.00000,0.00000,1.00000,0.72168,-0.69223,-0.00000,-43.81,7,12083,114
107,-1533673853,23.26976,0.00728,-2.53270,0.00000,0.00000,1.00000,-0.99300,-0.11814,0.00000,-173.22,7,12198,114
108,-1533673853,23.00086,1.34580,-2.53285,0.00000,0.00000,1.00000,-0.71681,0.69727,0.00000,135.79,7,12313,114
109,-1533673853,28.08602,-1.86972,0.21249,0.00000,-0.00000,1.00000,0.00512,-0.99999,-0.00000,-89.71,7,12428,114
110,-1533673853,34.18791,1.04471,-1.99000,0.00000,-0.00000,1.00000,-0.10320,0.99466,0.00000,95.92,7,12543,114
111,-1533673853,29.74213,-3.14434,-1.99000,0.00000,0.00000,1.00000,-0.94156,-0.33683,0.00000,-160.32,7,12658,114
112,-1533673853,26.75834,5.76637,-1.55368,0.00000,0.00000,1.00000,-0.70737,0.70684,0.00000,135.02,7,12773,99
113,-1533673853,28.19130,12.62035,-1.56539,-0.00410,-0.00819,0.99996,-0.75669,-0.65371,-0.00846,-139.18,7,12873,114
114,-1533673853,20.89126,11.77149,-1.83063,-0.00000,0.00000,1.00000,0.92007,0.39176,0.00000,23.06,7,12988,114
115,-1533673853,17.44591,11.73665,-1.83063,-0.00000,-0.00000,1.00000,-0.80957,0.58702,-0.00000,144.05,7,13103,114
116,-1533673853,22.64119,7.44878,0.23985,0.00000,0.00000,1.00000,0.91037,0.41379,-0.00000,24.44,7,13218,114
117,-1533673853,15.98158,8.48794,0.20944,0.00000,0.00000,1.00000,-0.86407,0.50336,0.00000,149.78,7,13333,99
118,-1533673853,13.47665,2.16586,-1.90025,-0.00151,0.00000,1.00000,-0.58108,-0.81384,-0.00088,-125.53,7,13433,109
119,-1533673853,12.79652,2.65147,-1.90128,-0.00151,-0.00000,1.00000,-0.84364,0.53690,-0.00127,147.53,7,13543,114
120,-1533673853,14.89391,-4.00275,-2.16895,-0.00000,0.00000,1.00000,-0.77008,0.63795,-0.00000,140.36,7,13658,114
121,-1533673853,8.87063,8.18240,-1.93455,0.00000,0.00000,1.00000,0.46167,-0.88705,0.00000,-62.51,7,13773,114
122,-1533673853,-3.11583,20.08627,-3.84535,0.02439,0.00232,0.99970,0.97055,-0.23977,-0.02313,-13.88,7,13888,114
123,-1533673853,-0.75509,18.29052,-3.70115,-0.03294,0.03415,0.99887,0.85950,-0.50908,0.04574,-30.64,7,14003,114
124,-1533673853,33.16409,-1.27878,0.21000,0.00000,0.00000,1.00000,-0.98195,0.18914,0.00000,169.10,7,14118,114
125,-1533673853,15.39068,28.92815,-3.31948,-0.00000,0.00000,1.00000,0.92730,-0.37433,0.00000,-21.98,7,14233,114
126,-1533673853,4.37819,30.34741,-1.62529,0.04568,-0.13736,0.98947,-0.26971,-0.95541,-0.12018,-105.76,7,14348,114
127,95146865,39.35604,8.02067,1.56139,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,8,14464,187
128,95146865,-3.64440,8.92821,-2.57463,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,8,14653,187
129,95146865,19.65560,-23.27180,-0.76804,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,8,14842,184
130,95146865,16.25560,14.02821,7.53196,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,8,15028,184
131,-1376852264,32.40000,14.25583,1.16166,0.00000,-0.00000,1.00000,1.00000,0.00000,-0.00000,0.00,1,15213,109
132,1649659840,38.70692,6.09890,-0.03390,0.00000,0.00000,1.00000,0.02592,0.99966,-0.00000,88.51,1,15323,114
133,-1376852264,-5.70908,2.89833,-1.88993,0.00021,-0.00244,1.00000,-0.00055,1.00000,0.00244,90.03,1,15438,114
134,-1376852264,19.97824,-4.13098,0.19841,-0.00000,-0.00000,1.00000,1.00000,0.00054,0.00000,0.03,1,15553,114
135,-1376852264,10.47485,-15.18446,-4.20156,0.00000,0.00000,1.00000,-0.64128,-0.76731,0.00000,-129.89,1,15668,99
136,1597478195,20.31125,-23.43096,-3.11426,0.00000,0.00000,1.00000,0.00546,-0.99999,0.00000,-89.69,1,15768,99
137,1649659840,36.21409,16.85698,1.01940,0.00000,-0.00000,1.00000,0.69588,-0.71815,-0.00000,-45.90,1,15868,114
138,1649659840,-0.74337,20.50267,-2.92180,-0.00000,0.00000,1.00000,-0.69974,-0.71440,0.00000,-134.41,1,15983,114
139,1649659840,19.32163,13.12310,-1.32060,0.00000,0.00000,1.00000,-0.00000,1.00000,-0.00000,90.00,1,16098,114
140,1649659840,-3.96278,12.02836,-2.47108,-0.00000,-0.00000,1.00000,0.09364,-0.99561,-0.00000,-84.63,1,16213,114
141,-467576609,28.99479,26.89087,-1.65040,0.00000,0.00000,1.00000,0.99998,-0.00628,0.00000,-0.36,1,16328,99
142,-467576609,12.00664,7.87584,-1.93533,-0.01155,0.00437,0.99992,0.71662,0.69745,0.00524,44.22,1,16428,114
143,1649659840,2.50669,-0.05180,-0.52122,0.00000,0.00002,1.00000,-0.99649,0.08377,-0.00000,175.19,1,16543,114
144,1649659840,14.33475,22.69750,-2.55030,0.00044,-0.00085,1.00000,0.06677,-0.99777,-0.00088,-86.17,1,16658,114
145,1649659840,31.94523,19.97862,-0.61044,0.00000,0.00000,1.00000,-0.62328,0.78200,0.00000,128.56,1,16773,99
146,1649659840,19.87298,3.18563,-2.01772,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,90.00,1,16873,94
147,1649659840,32.02662,-0.35899,-1.47970,0.00000,-0.00000,1.00000,0.78801,-0.61566,-0.00000,-38.00,1,16968,114
148,1649659840,24.49369,-18.36808,-0.38200,-0.00000,0.00000,1.00000,0.00002,1.00000,-0.00000,90.00,1,17083,114
149,1649659840,26.54772,-17.82793,-2.49970,0.00000,-0.00000,1.00000,1.00000,-0.00001,-0.00000,-0.00,1,17198,114
150,1649659840,8.95991,1.87275,-1.39130,-0.00000,0.00000,1.00000,0.00000,1.00000,-0.00000,90.00,1,17313,114
151,-1376852264,23.32438,8.23013,-2.48570,-0.00042,-0.01834,0.99983,0.70704,0.70704,0.01327,45.00,1,17428,114
152,1585893648,19.86058,-2.29694,-2.38275,0.00000,-0.00000,1.00000,-0.00471,-0.99999,-0.00000,-90.27,1,17543,114
153,-467576609,11.86874,25.10000,-2.13357,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,17658,94
154,-467576609,19.32157,10.84370,1.40728,-0.00000,-0.00000,1.00000,0.00000,1.00000,0.00000,90.00,1,17753,109
155,1649659840,19.32623,14.18733,0.53500,0.00000,-0.00000,1.00000,0.00000,1.00000,0.00000,90.00,1,17863,109
156,1597478195,14.83258,27.23568,-3.25931,-0.00000,0.00000,1.00000,-0.36294,-0.93181,0.00000,-111.28,1,17973,114
157,1649659840,13.73879,-15.05498,-3.68260,-0.00000,0.00000,1.00000,-0.42260,0.90631,-0.00000,115.00,1,18088,114
158,1882451900,22.19364,-18.49276,-3.09010,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,18204,147
159,1882451900,18.74345,-23.29303,-0.89010,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,18353,147
160,1882451900,5.28872,28.95670,-1.49995,0.55819,0.82844,0.04601,-0.82411,0.56000,-0.08506,145.80,1,18502,162
161,1882451900,21.86750,27.49538,-3.21349,0.00000,0.00000,1.00000,0.60169,0.79873,0.00000,53.01,1,18666,147
162,-1430101324,-7.30404,-1.79100,-1.85479,-0.00000,0.00000,1.00000,1.00000,-0.00187,0.00000,-0.11,1,18815,139
163,-508752201,-7.30404,-1.79100,-1.86016,-0.00000,0.00000,1.00000,1.00000,-0.00187,0.00000,-0.11,1,18956,139
164,-1430101324,18.43668,-20.81041,-1.87134,-0.00000,-0.00000,1.00000,1.00000,0.00001,0.00000,0.00,1,19097,136
165,-1430101324,41.02550,9.72252,0.94929,-0.00000,-0.00000,1.00000,1.00000,0.00001,0.00000,0.00,1,19235,139
166,-508752201,41.01908,9.72738,0.93682,-0.00000,-0.00000,1.00000,0.86270,-0.50571,0.00000,-30.38,1,19376,139
167,-877512201,21.22514,-20.60881,-3.12268,0.00000,0.00000,1.00000,1.00000,-0.00000,0.00000,-0.00,1,19516,121
168,-877512201,17.96592,0.13580,-2.53510,-0.00000,-0.00000,1.00000,0.86567,0.50062,0.00000,30.04,1,19639,136
169,-877512201,7.16172,24.65411,-2.02858,0.00000,0.00018,1.00000,1.00000,0.00055,-0.00000,0.03,1,19777,131
170,-877512201,29.04754,6.79331,-1.56351,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,19909,119
171,-877512201,21.19979,-20.60946,-3.12268,0.00000,0.00000,1.00000,1.00000,-0.00000,0.00000,-0.00,1,20029,121
172,-877512201,7.15797,24.60266,-2.02822,0.00000,0.00254,1.00000,0.99999,0.00332,-0.00001,0.19,1,20152,139
173,-877512201,10.65419,-3.11603,-2.17965,-0.00000,0.00000,1.00000,1.00000,0.00055,0.00000,0.03,1,20293,136
174,-877512201,29.05623,6.63973,-1.56371,0.00000,0.00000,1.00000,1.00000,0.00055,0.00000,0.03,1,20430,121
175,-1476457415,19.84608,-20.25270,-3.09010,0.00000,0.00000,1.00000,-0.00000,1.00000,0.00000,90.00,1,20553,166
176,-1476457415,19.84599,1.26932,-2.56015,-0.00000,0.00000,1.00000,1.00000,-0.00000,0.00000,-0.00,1,20721,181
177,-1476457415,5.83558,23.93527,-2.22088,0.00000,0.00000,1.00000,1.00000,-0.00000,0.00000,-0.00,1,20904,166
178,1818458590,29.10775,6.53460,-1.60209,-0.00000,0.00000,1.00000,0.99999,-0.00397,0.00000,-0.23,1,21072,184
179,1818458590,19.84246,-20.56313,-3.09010,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,21258,166
180,1818458590,5.82321,23.70941,-2.20487,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,21426,164
181,-1476457415,10.50347,-3.04391,-2.16895,-0.00000,0.00000,1.00000,0.99997,0.00793,0.00000,0.45,1,21592,181
182,-1476457415,29.18072,6.57338,-1.55368,0.00000,0.00000,1.00000,0.99999,-0.00516,0.00000,-0.30,1,21775,166
183,750886580,12.86743,11.57106,-2.02182,-0.00006,0.00501,0.99999,1.00000,0.00000,0.00006,0.00,1,21943,188
184,737091117,11.68982,3.87870,1.13562,-0.05199,-0.01195,0.99858,0.99865,0.00000,0.05199,0.00,1,22132,116
185,-1239931096,19.70000,1.10000,-2.20000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,22250,176
186,-1239931096,-6.36924,4.13137,-1.70000,0.00000,0.00000,1.00000,0.99449,0.10481,0.00000,6.02,1,22428,173
187,-1239931096,19.59979,-20.67933,-2.50000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,22603,168
188,-1239931096,17.76939,28.85426,-3.10000,0.00000,0.00000,1.00000,0.93969,-0.34202,0.00000,-20.00,1,22773,173
189,-1239931096,42.90000,11.30000,0.80000,0.00000,0.00000,1.00000,-0.00000,-1.00000,0.00000,-90.00,1,22948,173
190,848694842,16.97367,2.84681,0.77375,0.00000,0.00000,1.00000,0.87248,-0.48865,0.00000,-29.25,1,23122,121
191,-877512201,33.26307,14.25930,1.16158,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,23245,131
192,-877512201,29.00000,7.20000,-1.56541,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,23378,131
193,-877512201,26.50000,-8.20000,-1.99416,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,23511,131
194,-877512201,20.52371,28.22846,-3.19394,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,23644,131
195,-877512201,5.43452,-11.70697,-1.86820,-0.04720,-0.07788,0.99584,0.99788,-0.04831,0.04352,-2.77,1,23777,136
196,-877512201,-5.82507,15.57572,-0.66419,-0.00000,0.00000,1.00000,0.76606,-0.64277,0.00000,-40.00,1,23915,136
197,-877512201,7.14650,24.46168,-2.02491,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24053,131
198,-877512201,20.30923,-20.60435,-3.11926,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24185,116
199,-877512201,22.22254,1.14861,0.80000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24302,116
200,-1902667258,33.10000,14.25288,1.20000,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24420,180
201,-1902667258,29.12535,6.50753,-1.50000,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24602,179
202,-1902667258,26.34366,-5.84022,-1.90001,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24783,179
203,-1902667258,19.58101,-20.60000,-3.11978,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,24964,176
204,-1902667258,19.90000,1.21496,0.57899,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,25142,176
205,-1902667258,20.06242,28.00615,-3.10000,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,25320,180
206,-1902667258,5.40000,-11.70000,-1.80000,-0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00,1,25502,180
