type_id,instances,obj_group,obj_gid,hlmt_gid,mode_gid,coll_gid,phmo_gid,mode_module,min_x,min_y,min_z,max_x,max_y,max_z,dx,dy,dz,geom,note
1818458590,3,bloc,-111530890,2041547471,-1135935084,-1922583169,114367043,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
-1160081872,3,bloc,1378760858,-1623435591,-53986847,1543753571,-1303313472,globals/forge/forge_objects-rtx-new.module,-0.324884,-0.230789,-0.092833,0.441149,0.361103,0.146888,0.766033,0.591891,0.239722,ok,
1597478195,2,mach,-56056832,1304595854,845792815,1464575851,-38285351,ds/globals/common-rtx-new.module,-0.177199,-0.337335,-0.000000,0.177199,0.337335,0.069826,0.354398,0.674670,0.069826,ok,via foki
-508752201,2,mach,1641828316,-449653028,-259472276,-1501657036,-552815411,ds/globals/common-rtx-new.module,-0.207217,-0.207249,-0.000987,0.207807,0.207374,0.062080,0.415024,0.414623,0.063068,ok,
-269578988,2,vehi,-1202193515,-1597005125,479136216,562852390,-786396241,ds/globals/common-rtx-new.module,-0.201982,-0.251283,-0.008800,0.337440,0.250729,0.524116,0.539421,0.502012,0.532916,ok,
298581842,1,scen,-334768557,-750913422,-87764756,207644417,2124597901,ds/globals/common-rtx-new.module,-0.333499,-0.029427,-0.065235,0.000389,0.042420,0.183635,0.333888,0.071847,0.248870,ok,via foki
1585893648,1,mach,1099874313,296707645,-750151331,263948754,-1460662979,ds/globals/common-rtx-new.module,-0.241917,-0.241917,-0.000654,0.241917,0.241917,0.053611,0.483833,0.483833,0.054265,ok,via foki
750886580,1,bloc,630457176,2041547471,-1135935084,-1922583169,114367043,ds/globals/common-rtx-new.module,-0.000500,-0.000500,-0.000500,0.000500,0.000500,0.000500,0.001000,0.001000,0.001000,modele_vide,
737091117,1,bloc,2142957602,1356526652,-1212044392,-1064797143,1872195994,ds/globals/common-rtx-new.module,-0.158129,-0.199214,-0.181909,0.156611,0.213394,0.183945,0.314740,0.412608,0.365855,ok,via foki
848694842,1,mach,887517201,-1293510127,1385883902,964230759,-1445095146,ds/globals/common-rtx-new.module,-0.200545,-0.200545,-0.000006,0.200545,0.200545,0.054917,0.401090,0.401090,0.054923,ok,
1299238834,1,bloc,-710551198,-986444126,430773286,2070641344,-669002476,ds/globals/common-rtx-new.module,-0.131433,-0.056382,-0.003496,0.087561,0.057529,0.330611,0.218994,0.113911,0.334106,ok,
1063565843,1,bloc,-1202565930,-2003132960,858296764,2074033625,264427642,ds/globals/common-rtx-new.module,-0.152546,-0.281320,-0.000271,0.152546,0.281320,0.218100,0.305092,0.562640,0.218371,ok,
-1342546397,1,weap,1530156,-43367895,-859399216,488102999,-805962792,ds/globals/globals-rtx-new.module,-0.035417,-0.026725,-0.033365,0.036811,0.026402,0.033570,0.072229,0.053127,0.066936,ok,
231608991,1,bloc,1869877429,-630486384,-1839042071,518853695,178424242,globals/forge/forge_objects-rtx-new.module,-0.383206,-0.191335,-0.191335,0.893432,0.191335,0.191335,1.276638,0.382669,0.382669,ok,
