4 Representation Name distincts sur les emplacements

=== Representation Name -1351408675 ? 117 socles sur 20 cartes ===
  carte                                  x        y        z        cadence   famille de degat     pose
  fragmentation_heavies_btb_fragmentation 30.6     27.1     6.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 31.5     29.2     6.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 85.4     -45.5    6.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 16.8     30.4     6.5      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 47.7     -29.8    5.6      120 s     banished_plasma      au sol
  fragmentation_heavies_btb_fragmentation 52.9     15.6     5.5      120 s     banished_plasma      au sol
  fragmentation_heavies_map              71.9     -41.9    6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              70.6     -44.3    6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              30.6     27.1     6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              31.5     29.2     6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              85.4     -45.5    6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              16.8     30.4     6.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              47.7     -29.8    5.6      45 s      banished_plasma      au sol
  fragmentation_heavies_map              52.9     15.6     5.5      45 s      banished_plasma      au sol
  fragmentation_heavies_map              58.7     -66.5    3.2      45 s      banished_plasma      au sol
  fragmentation_heavies_map              42.6     51.3     3.1      45 s      banished_plasma      au sol
  fragmentation_map                      71.6     -41.9    6.5      120 s     banished_plasma      au sol
  fragmentation_map                      70.6     -44.3    6.5      120 s     banished_plasma      au sol
  fragmentation_map                      30.6     27.1     6.5      120 s     banished_plasma      au sol
  fragmentation_map                      31.5     29.2     6.5      120 s     banished_plasma      au sol
  fragmentation_map                      85.4     -45.5    6.5      120 s     banished_plasma      au sol
  fragmentation_map                      16.8     30.4     6.5      120 s     banished_plasma      au sol
  fragmentation_map                      47.7     -29.8    5.6      120 s     banished_plasma      au sol
  fragmentation_map                      52.9     15.6     5.5      120 s     banished_plasma      au sol
  launch_site_map                        11.3     -9.4     1.8      120 s     banished_plasma      au sol
  launch_site_map                        21.0     -19.7    0.7      120 s     banished_plasma      au sol
  launch_site_map                        24.0     18.2     0.5      120 s     banished_plasma      au sol
  launch_site_map                        25.3     -22.2    -1.4     120 s     banished_plasma      au sol
  launch_site_map                        -5.6     3.0      -2.2     120 s     banished_plasma      au sol
  launch_site_map                        -5.2     -20.2    -3.4     120 s     banished_plasma      au sol
  launch_site_va_launchsite              11.3     -9.4     1.8      120 s     banished_plasma      au sol
  launch_site_va_launchsite              21.0     -19.7    0.7      120 s     banished_plasma      au sol
  launch_site_va_launchsite              24.0     18.2     0.5      120 s     banished_plasma      au sol
  launch_site_va_launchsite              25.3     -22.2    -1.4     120 s     banished_plasma      au sol
  launch_site_va_launchsite              -5.6     3.0      -2.2     120 s     banished_plasma      au sol
  launch_site_va_launchsite              -5.2     -20.2    -3.4     120 s     banished_plasma      au sol
  nemesis_map                            74.1     87.0     61.0     30 s      banished_kinetic     au sol
  oasis_heavies_btb_exiled               -1.6     48.3     27.6     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               10.4     -41.2    27.1     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               12.0     -50.3    27.1     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -6.4     1.5      27.0     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               27.8     -51.7    26.0     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               11.7     -3.9     25.6     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               12.0     -52.5    25.5     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -30.3    1.4      25.4     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -2.9     48.5     25.4     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               0.8      9.1      25.2     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               0.2      9.6      25.2     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -3.0     -10.1    25.0     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               2.6      42.7     24.4     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               4.2      -6.2     23.4     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -24.8    6.4      22.4     30 s      banished_plasma      au sol
  oasis_heavies_btb_exiled               -25.0    -6.4     22.4     30 s      banished_plasma      au sol
  oasis_heavies_map                      -1.6     48.3     27.6     45 s      banished_plasma      au sol
  oasis_heavies_map                      10.4     -41.2    27.1     45 s      banished_plasma      au sol
  oasis_heavies_map                      12.0     -50.3    27.1     45 s      banished_plasma      au sol
  oasis_heavies_map                      -6.4     1.5      27.0     45 s      banished_plasma      au sol
  oasis_heavies_map                      27.8     -51.7    26.0     45 s      banished_plasma      au sol
  oasis_heavies_map                      11.7     -3.9     25.6     45 s      banished_plasma      au sol
  oasis_heavies_map                      12.0     -52.5    25.5     45 s      banished_plasma      au sol
  oasis_heavies_map                      -30.3    1.4      25.4     45 s      banished_plasma      au sol
  oasis_heavies_map                      -2.9     48.5     25.4     45 s      banished_plasma      au sol
  oasis_heavies_map                      0.2      9.6      25.2     45 s      banished_plasma      au sol
  oasis_heavies_map                      0.8      9.1      25.2     45 s      banished_plasma      au sol
  oasis_heavies_map                      -3.0     -10.1    25.0     45 s      banished_plasma      au sol
  oasis_heavies_map                      2.6      42.7     24.4     45 s      banished_plasma      au sol
  oasis_heavies_map                      4.2      -6.2     23.4     45 s      banished_plasma      au sol
  oasis_heavies_map                      -24.8    6.4      22.4     45 s      banished_plasma      au sol
  oasis_heavies_map                      -25.0    -6.4     22.4     45 s      banished_plasma      au sol
  obituary_heavies_map                   -1.6     -9.7     102.1    120 s     banished_kinetic     au sol
  obituary_heavies_map                   3.2      -14.3    102.1    120 s     banished_kinetic     au sol
  obituary_heavies_map                   -49.8    -9.2     101.7    120 s     banished_kinetic     au sol
  obituary_heavies_map                   -42.6    -16.2    101.0    120 s     banished_kinetic     au sol
  obituary_heavies_map                   -40.5    30.4     99.3     120 s     banished_kinetic     au sol
  obituary_map                           -1.6     -9.7     102.1    120 s     banished_kinetic     au sol
  obituary_map                           3.2      -14.3    102.1    120 s     banished_kinetic     au sol
  obituary_map                           -49.8    -9.2     101.7    120 s     banished_kinetic     au sol
  obituary_map                           -42.6    -16.2    101.0    120 s     banished_kinetic     au sol
  obituary_map                           -40.5    30.4     99.3     120 s     banished_kinetic     au sol
  salvation_map                          14.2     20.8     77.7     30 s      banished_kinetic     AU MUR
  scarr_btb_engine                       -1.0     2.3      3.3      240 s     banished_plasma      au sol
  scarr_btb_engine                       0.9      2.3      3.3      240 s     banished_plasma      au sol
  scarr_btb_engine                       34.9     -23.1    -0.3     240 s     banished_plasma      au sol
  scarr_btb_engine                       -31.7    -23.1    -0.8     240 s     banished_plasma      au sol
  scarr_map                              0.9      -2.3     3.3      240 s     banished_plasma      au sol
  scarr_map                              -0.9     -2.3     3.3      240 s     banished_plasma      au sol
  scarr_map                              -1.0     2.3      3.3      240 s     banished_plasma      au sol
  scarr_map                              0.9      2.3      3.3      240 s     banished_plasma      au sol
  scarr_map                              34.9     -23.1    -0.3     240 s     banished_plasma      au sol
  scarr_map                              -31.7    -23.1    -0.8     240 s     banished_plasma      au sol
  snowbound_map                          32.3     -93.0    59.7     30 s      banished_kinetic     au sol
  snowbound_map                          7.6      -93.1    58.2     30 s      banished_kinetic     au sol
  snowbound_map                          19.4     -122.4   55.5     30 s      banished_kinetic     au sol

=== Representation Name -1412311642 ? 98 socles sur 27 cartes ===
  carte                                  x        y        z        cadence   famille de degat     pose
  944396dd-5661-4a16-b1d8-a6053f762c55_map 2.2      0.0      142.5    90 s      banished_kinetic     au sol
  banished_narrows_map                   -20.0    8.5      60.6     60 s      banished_kinetic     au sol
  banished_narrows_map                   -20.0    8.2      60.6     60 s      banished_kinetic     au sol
  banished_narrows_map                   19.0     8.2      60.6     60 s      banished_kinetic     au sol
  banished_narrows_map                   19.0     8.4      60.6     60 s      banished_kinetic     au sol
  cliffside_map                          12.5     -1.9     85.6     60 s      banished_kinetic     au sol
  cole_protocol_map                      -40.8    48.6     61.3     30 s      banished_kinetic     AU MUR
  cole_protocol_map                      -38.9    27.9     61.3     30 s      banished_kinetic     AU MUR
  cole_protocol_map                      -48.0    34.8     61.0     30 s      banished_kinetic     AU MUR
  cole_protocol_map                      -53.4    19.8     60.0     30 s      banished_kinetic     AU MUR
  cole_protocol_map                      -58.2    47.7     59.5     30 s      banished_kinetic     AU MUR
  dawnbreaker_map                        23.1     -41.4    91.6     30 s      banished_kinetic     au sol
  dawnbreaker_map                        22.4     -6.8     91.6     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -17.2    -41.2    90.4     30 s      banished_kinetic     au sol
  detachment_map                         -81.3    -1.0     97.0     30 s      banished_kinetic     au sol
  domicile_map                           17.9     -3.3     169.6    30 s      banished_kinetic     au sol
  domicile_map                           26.2     -3.1     169.5    30 s      banished_kinetic     au sol
  empyrean_map                           -4.5     -43.6    142.5    150 s     banished_kinetic     au sol
  empyrean_map                           -4.5     -43.8    142.5    150 s     banished_kinetic     au sol
  empyrean_map                           4.7      -43.6    142.5    150 s     banished_kinetic     au sol
  empyrean_map                           4.7      -43.8    142.5    150 s     banished_kinetic     au sol
  high_ground_map                        -5.0     95.0     62.2     30 s      banished_kinetic     au sol
  high_ground_map                        0.9      91.9     57.5     30 s      banished_kinetic     au sol
  high_ground_map                        -24.8    86.9     56.2     30 s      banished_kinetic     au sol
  high_ground_map                        23.1     97.0     54.3     30 s      banished_kinetic     AU MUR
  isolation_map                          -25.5    -26.0    120.0    120 s     banished_kinetic     au sol
  isolation_map                          -39.0    -14.0    119.8    120 s     banished_kinetic     au sol
  isolation_map                          -23.1    -18.2    115.4    120 s     banished_kinetic     AU MUR
  nadair_map                             49.8     -20.2    100.3    30 s      banished_kinetic     au sol
  nadair_map                             -13.8    -8.5     100.3    30 s      banished_kinetic     au sol
  nadair_map                             68.7     -12.0    96.4     30 s      banished_kinetic     au sol
  nadair_map                             -15.6    -12.2    96.4     30 s      banished_kinetic     au sol
  nadair_map                             51.7     -16.5    96.4     30 s      banished_kinetic     au sol
  nadair_map                             -33.0    -16.5    96.4     30 s      banished_kinetic     au sol
  nadair_map                             19.3     -10.9    95.0     30 s      banished_kinetic     au sol
  nadair_map                             16.9     -18.0    95.0     30 s      banished_kinetic     au sol
  nemesis_map                            89.8     71.3     61.0     30 s      banished_kinetic     au sol
  obituary_heavies_map                   -3.2     14.3     102.1    120 s     banished_kinetic     au sol
  obituary_heavies_map                   1.6      9.7      102.1    120 s     banished_kinetic     au sol
  obituary_heavies_map                   49.8     9.2      101.7    120 s     banished_kinetic     au sol
  obituary_heavies_map                   42.5     16.0     101.1    120 s     banished_kinetic     au sol
  obituary_heavies_map                   40.5     -30.5    99.3     120 s     banished_kinetic     au sol
  obituary_map                           -3.2     14.3     102.1    120 s     banished_kinetic     au sol
  obituary_map                           1.6      9.7      102.1    120 s     banished_kinetic     au sol
  obituary_map                           49.8     9.2      101.7    120 s     banished_kinetic     au sol
  obituary_map                           42.5     16.0     101.1    120 s     banished_kinetic     au sol
  obituary_map                           40.5     -30.5    99.3     120 s     banished_kinetic     au sol
  refuge_heavies_map                     97.9     94.0     55.8     30 s      banished_kinetic     au sol
  refuge_heavies_map                     90.5     97.2     55.7     30 s      banished_kinetic     au sol
  refuge_heavies_map                     78.8     90.7     54.5     30 s      banished_kinetic     au sol
  refuge_heavies_map                     120.2    86.8     54.4     30 s      banished_kinetic     au sol
  refuge_heavies_map                     136.9    96.0     52.1     30 s      banished_kinetic     au sol
  refuge_heavies_map                     101.8    96.3     49.9     30 s      banished_kinetic     au sol
  refuge_heavies_map                     78.9     91.7     49.8     30 s      banished_kinetic     au sol
  refuge_map                             78.8     90.9     54.5     30 s      banished_kinetic     au sol
  salvation_map                          14.7     25.1     77.0     30 s      banished_kinetic     AU MUR
  salvation_map                          14.7     25.4     76.9     30 s      banished_kinetic     au sol
  scarr_btb_engine                       19.4     8.6      1.3      240 s     banished_kinetic     au sol
  scarr_btb_engine                       -19.2    8.8      1.3      240 s     banished_kinetic     au sol
  scarr_btb_engine                       -42.5    -3.9     0.7      240 s     banished_kinetic     au sol
  scarr_btb_engine                       42.6     -3.9     0.7      240 s     banished_kinetic     au sol
  scarr_btb_engine                       0.7      -31.3    0.3      240 s     banished_kinetic     au sol
  scarr_btb_engine                       0.4      -31.2    0.3      240 s     banished_kinetic     au sol
  scarr_btb_engine                       -0.2     20.2     0.2      240 s     banished_kinetic     au sol
  scarr_btb_engine                       0.2      20.2     0.2      240 s     banished_kinetic     au sol
  scarr_btb_engine                       -7.2     0.9      -3.2     240 s     banished_kinetic     au sol
  scarr_map                              19.4     8.6      1.3      240 s     banished_kinetic     au sol
  scarr_map                              -19.2    8.8      1.3      240 s     banished_kinetic     au sol
  scarr_map                              -42.5    -3.9     0.7      240 s     banished_kinetic     au sol
  scarr_map                              42.6     -3.9     0.7      240 s     banished_kinetic     au sol
  scarr_map                              0.7      -31.3    0.3      240 s     banished_kinetic     au sol
  scarr_map                              0.4      -31.2    0.3      240 s     banished_kinetic     au sol
  scarr_map                              -0.2     20.2     0.2      240 s     banished_kinetic     au sol
  scarr_map                              0.2      20.2     0.2      240 s     banished_kinetic     au sol
  scarr_map                              -7.2     0.9      -3.2     240 s     banished_kinetic     au sol
  smallhalla_map                         63.9     54.0     100.2    120 s     banished_kinetic     AU MUR
  smallhalla_map                         92.2     54.1     99.8     120 s     banished_kinetic     AU MUR
  sylvanus_map                           9.3      -162.4   163.6    30 s      banished_kinetic     au sol
  sylvanus_map                           -5.7     -175.3   162.8    30 s      banished_kinetic     au sol
  sylvanus_map                           4.5      -143.3   160.9    30 s      banished_kinetic     au sol
  takamanohara_map                       -4.5     -43.6    142.5    150 s     banished_kinetic     au sol
  takamanohara_map                       -4.5     -43.8    142.5    150 s     banished_kinetic     au sol
  takamanohara_map                       4.7      -43.6    142.5    150 s     banished_kinetic     au sol
  takamanohara_map                       4.7      -43.8    142.5    150 s     banished_kinetic     au sol
  the_pit_map                            -159.0   81.8     55.5     60 s      banished_kinetic     au sol
  the_pit_map                            -158.9   92.2     55.5     60 s      banished_kinetic     au sol
  threshold_map                          0.0      -42.8    173.8    60 s      banished_kinetic     au sol
  threshold_map                          -0.0     42.8     173.8    60 s      banished_kinetic     au sol
  thunderhead_heavies_map                2.1      109.8    55.1     30 s      banished_kinetic     au sol
  thunderhead_heavies_map                -70.2    59.4     54.9     30 s      banished_kinetic     au sol
  thunderhead_heavies_map                -36.9    76.3     54.5     30 s      banished_kinetic     au sol
  thunderhead_heavies_map                -31.9    92.0     54.4     30 s      banished_kinetic     au sol
  thunderhead_map                        2.1      109.8    55.1     30 s      banished_kinetic     au sol
  thunderhead_map                        -70.2    59.4     54.9     30 s      banished_kinetic     au sol
  thunderhead_map                        -36.9    76.3     54.5     30 s      banished_kinetic     au sol
  thunderhead_map                        -31.9    92.0     54.4     30 s      banished_kinetic     au sol
  vagabond_map                           121.0    50.7     51.4     120 s     banished_kinetic     au sol
  vagabond_map                           121.2    50.7     51.4     120 s     banished_kinetic     au sol

=== Representation Name -245254093 ? 46 socles sur 21 cartes ===
  carte                                  x        y        z        cadence   famille de degat     pose
  944396dd-5661-4a16-b1d8-a6053f762c55_map 7.5      -20.0    139.2    90 s      banished_kinetic     au sol
  944396dd-5661-4a16-b1d8-a6053f762c55_map 7.5      19.9     139.2    90 s      banished_kinetic     au sol
  cliffside_map                          -6.9     -2.1     84.8     60 s      banished_kinetic     au sol
  cliffside_map                          -6.9     -2.4     84.8     60 s      banished_kinetic     au sol
  curfew_map                             -23.6    25.1     106.8    100 s     banished_kinetic     au sol
  curfew_map                             -8.8     5.8      106.8    100 s     banished_kinetic     au sol
  dawnbreaker_map                        -2.9     -50.9    92.0     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -5.7     -50.9    92.0     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -5.9     4.7      89.5     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -4.8     4.9      89.5     30 s      banished_kinetic     au sol
  domicile_map                           22.9     -21.0    175.0    180 s     banished_kinetic     AU MUR
  domicile_map                           20.7     -21.0    175.0    180 s     banished_kinetic     AU MUR
  domicile_map                           17.0     -9.4     165.6    180 s     banished_kinetic     au sol
  domicile_map                           27.1     -9.4     165.6    180 s     banished_kinetic     au sol
  flood_gulch_map                        -5.5     27.7     105.6    30 s      banished_kinetic     au sol
  flood_gulch_map                        -14.9    -64.3    105.6    30 s      banished_kinetic     au sol
  fortitude_heavies_map                  13.1     -40.6    94.9     30 s      banished_kinetic     au sol
  fortitude_heavies_map                  -2.2     12.6     94.9     30 s      banished_kinetic     au sol
  fortitude_map                          13.1     -40.6    94.9     30 s      banished_kinetic     au sol
  fortitude_map                          -2.2     12.6     94.9     30 s      banished_kinetic     au sol
  insolence_heavies_map                  -24.8    8.1      68.8     120 s     banished_kinetic     au sol
  insolence_heavies_map                  30.0     -7.9     68.1     30 s      banished_kinetic     au sol
  insolence_heavies_map                  -33.8    -32.8    65.2     120 s     banished_kinetic     au sol
  insolence_heavies_map                  33.8     32.8     65.2     30 s      banished_kinetic     au sol
  insolence_map                          -24.8    8.1      68.8     120 s     banished_kinetic     au sol
  insolence_map                          30.0     -7.9     68.1     30 s      banished_kinetic     au sol
  insolence_map                          -33.8    -32.8    65.2     120 s     banished_kinetic     au sol
  insolence_map                          33.8     32.8     65.2     30 s      banished_kinetic     au sol
  launch_site_map                        9.0      -27.1    1.9      120 s     banished_shock       au sol
  launch_site_va_launchsite              9.0      -27.1    1.9      120 s     banished_shock       au sol
  refuge_heavies_map                     107.2    119.4    54.0     30 s      banished_kinetic     au sol
  refuge_heavies_map                     113.7    68.3     51.2     30 s      banished_kinetic     au sol
  refuge_heavies_map                     110.9    107.2    50.4     30 s      banished_kinetic     au sol
  refuge_map                             113.7    68.3     51.2     120 s     banished_kinetic     au sol
  salvation_map                          14.6     20.8     76.9     30 s      banished_kinetic     au sol
  smallhalla_map                         77.4     65.1     99.9     120 s     banished_kinetic     au sol
  solitude_-_ranked_map                  1.0      -2.7     79.1     150 s     banished_kinetic     au sol
  solitude_map                           1.0      -2.7     79.1     150 s     banished_kinetic     au sol
  threshold_map                          25.4     -28.1    177.0    60 s      banished_kinetic     au sol
  threshold_map                          28.7     -24.8    177.0    60 s      banished_kinetic     au sol
  threshold_map                          -28.7    24.8     177.0    60 s      banished_kinetic     au sol
  threshold_map                          -25.4    28.1     177.0    60 s      banished_kinetic     au sol
  vagabond_map                           144.9    53.3     54.8     120 s     banished_kinetic     au sol
  vagabond_map                           145.1    53.4     54.8     120 s     banished_kinetic     au sol
  vallaheim_firefight_map                -0.0     39.7     77.7     80 s      banished_kinetic     AU MUR
  vallaheim_firefight_map                -2.1     -39.1    76.8     80 s      banished_kinetic     AU MUR

=== Representation Name -219174009 ? 24 socles sur 11 cartes ===
  carte                                  x        y        z        cadence   famille de degat     pose
  absolution_map                         -21.0    41.1     85.4     60 s      banished_kinetic     au sol
  absolution_map                         -16.9    24.3     85.4     60 s      banished_kinetic     au sol
  chasm_chasm                            -49.8    -52.9    -138.7   120 s     banished_hardlight   au sol
  chasm_chasm                            -84.6    -71.6    -138.7   120 s     banished_hardlight   au sol
  chasm_map                              -49.8    -52.9    -138.7   120 s     banished_hardlight   au sol
  chasm_map                              -84.6    -71.6    -138.7   120 s     banished_hardlight   au sol
  dawnbreaker_map                        -6.9     -10.1    90.8     30 s      banished_kinetic     au sol
  dawnbreaker_map                        -10.7    -23.8    90.4     30 s      banished_kinetic     au sol
  fortitude_heavies_map                  23.1     -31.7    88.4     30 s      banished_kinetic     au sol
  fortitude_heavies_map                  -12.4    3.7      88.4     30 s      banished_kinetic     au sol
  fortitude_map                          23.1     -31.7    88.4     30 s      banished_kinetic     au sol
  fortitude_map                          -12.4    3.7      88.4     30 s      banished_kinetic     au sol
  launch_site_map                        -21.4    -26.7    -1.3     120 s     banished_hardlight   au sol
  launch_site_va_launchsite              -21.4    -26.7    -1.3     120 s     banished_hardlight   au sol
  scarr_btb_engine                       16.3     22.5     0.2      240 s     banished_hardlight   au sol
  scarr_btb_engine                       -16.2    22.6     0.2      240 s     banished_hardlight   au sol
  scarr_btb_engine                       -24.7    -7.2     -1.7     240 s     banished_hardlight   au sol
  scarr_btb_engine                       24.9     -7.1     -1.7     240 s     banished_hardlight   au sol
  scarr_map                              16.3     22.5     0.2      240 s     banished_hardlight   au sol
  scarr_map                              -16.2    22.6     0.2      240 s     banished_hardlight   au sol
  scarr_map                              -24.7    -7.2     -1.7     240 s     banished_hardlight   au sol
  scarr_map                              24.9     -7.1     -1.7     240 s     banished_hardlight   au sol
  threshold_map                          -16.1    -13.3    178.2    60 s      banished_kinetic     au sol
  threshold_map                          16.1     13.3     178.2    60 s      banished_kinetic     au sol

