hash,nom_craque,instances,cartes,type_id_porteurs
1083753017,,261,8,-1714897318
-832810785,,258,23,-1216342560
-1467454569,,258,20,-1813805760 -1762893655 20077409 1775719222 2081381999
-495076362,,258,7,963505460
1495213874,,251,27,486114968 812349883 873146006 1208830599 1546847002 1664937520
1667629310,,242,29,-559077370 973538166 1772410041 2065109822
-434412457,,230,30,-1888906217 -410788533 590607935 1583471165
2111289258,,228,35,-124242750
-605641887,,228,14,1953262320
-1459441732,,209,18,-1976322664
330814903,dirt,207,10,-2125044412 -373809393
-1341546597,,206,10,-560619353
1399177124,,205,17,-41036279
-226922069,,205,48,-1855279381
1515514282,,200,19,-1564610277 -777776255 -362617525 660587119
525941435,,191,52,937132837
1396086401,,180,34,-853110847
-1210475658,,178,26,368654796
-604629058,,177,20,-1976322664 1606981455
358463415,,173,40,-381729683
1701075701,,164,4,-1174263572 -776904086 172670731 217793994 691322027 713442646
431129840,,163,25,-1604240324 45101814 407729377 1390657894
-1723169387,,162,32,231608991
-418692028,,158,27,-1261696019 1221346756 1640567645 1697458031
-1080740171,,157,13,-1712852608 -1470599993 -457041346 928931228
284834901,,152,33,666388790
-708635939,,145,7,-1263086152
577074678,,143,29,-1408077537
1083804154,,142,1,-1550592518
2005838149,,139,4,-1559876918
-105307848,forge_mp,131,13,-435695488 -120745116 1526415433
1579299659,,126,19,-1407058610 -1243907050 203585573 497956623
1683415034,,124,9,-2018250099
832016371,,124,35,-1542697954
-1351408675,,117,20,1882451900
177910785,,116,6,-1968272113
-1583231659,,112,23,-697548738
880105218,,110,6,1840184208
2103319735,,107,1,2043239898
-1950165921,,105,7,1719094253
-799017703,,105,2,1157242225
-1414086516,,103,5,-1833338962 -1810238964 -850344859 -841620849 -320983648 755502980
-174409383,,102,27,1839065359
1865793515,,102,2,385405457
482345135,,101,8,-1210699271
-1187763326,,101,29,1974740045
907551685,,99,15,1627178319
1846677511,,98,11,-1709171520 -1529003058 -917222586 -400138457 1232497409
-1412311642,,98,27,1486653438
2072906399,unsc_turret,94,42,-269578988
848545087,,94,13,-1062580973 -867485774 177237589
1284081503,,92,12,773387958
646904952,,89,7,-1107152966
2025841300,,86,25,-47374247
-2084835478,,84,11,1756767445
-1956492197,,82,19,312335728
-1868177280,,82,14,1282914177
1900820135,,81,38,-863615175
627861436,,81,2,414154191
-1068352183,,81,4,99899283
1943938827,,79,5,-729136846
15965491,,79,8,275039557
1547569478,,78,3,-1164296259
-1843248890,,77,15,-1630109204 -1101324062 -528409582
1927726237,,76,4,-1085994458
-1581046308,,76,13,-1856694841 -324375991 683517175 1089546926
1637498049,,76,6,-1886308403 -1717689578 -1554213874 -1267055777 -1094046084 -973614490
-713218748,,76,13,-236639849
1480442285,,74,5,-1420696296
1911610876,,74,8,2108882659
1057070300,,73,27,-1160081872
1739148243,,70,2,-169309065
-710149251,,70,39,-2013147197 -721267272
-1166472090,,67,13,1063565843
638793853,,66,11,-2098564338
-1354909517,,64,8,101629996
1097300701,,64,19,2122890863
-385453402,,64,54,750886580
834994032,,64,4,2101243059
-871764148,,63,15,-381729683
-1094537081,,62,12,-795273762
1313765709,,62,10,-735518571
-295365740,,62,5,-1995502846
752677959,,62,6,-453747500
1632225802,,61,1,-697581275
-799296807,,61,61,-588988541
750055086,,60,5,-1117152967
947971454,mossy,59,7,-438435490 -394272716 720172841 1252026776 2121345589
-92500861,,59,5,-1807546999
578985808,,59,8,-2101671295 -1178823128
1901037511,,58,4,1989230088
-1194491349,,58,2,-14618672
-1030222957,,56,10,1213565432
-1475260515,,56,4,-287010249 88098872 175813891 738826758 768219059 875581998
1508537005,,56,8,905826440
663090981,,56,17,1141889298
-1479745028,,56,9,-1741234267
1009173064,,55,11,-2072039978
-372633095,,55,2,-1032388612
1463477079,,50,1,-465209448
984717122,,49,3,-1882780586 -1736275100
-278728674,,48,6,2019687498
1764845429,,48,2,1575955596
327767120,,48,4,44613514
-1458097780,,47,8,-963066078
406304664,,47,5,1795700261
-245254093,,46,21,-1062552774
1623114755,,46,11,1756493654
-1750195035,,45,8,339083447
460430472,,45,20,1889470636
2108849621,,44,4,-188929251
-1624063527,,44,7,-902390836
-1777389961,,44,22,673034112
-434829141,,44,5,1730907477
1914035270,,43,4,1323296074
-1720063914,,43,6,2094338852
970620420,,43,9,-695072432 122541670
-621368516,,42,16,417278190
1799635286,,42,12,-1137573773
2015160606,,42,13,1299238834
877431909,,42,9,1249401402
1025084432,,42,8,1797868144
-385658971,,41,2,-245395772
1715850354,,41,39,1688143539
1006548022,,40,4,1088334072
-703176770,,40,8,630462697
2079710552,,39,4,-525871705
913697552,,39,12,2145582415
1664330719,,39,4,994119899
-1403276002,,38,4,895077924
-1786962484,,38,9,-1155606257
1500035240,,38,13,-558889614
1042556557,,37,4,1283298563
574572879,,37,10,1875098621
-658025699,,37,4,872157396
935977464,,36,9,1262507388
-1655493489,,36,1,-251257751
-603392360,closed,36,10,1795051422
-67719413,,35,3,-490169562
-1234250443,,34,13,481068333
1738183955,,34,5,-1287062553
351590714,,33,11,787133651
-1284078254,,33,1,-1210852217
134300358,,32,5,-106979345
1136543338,,32,2,-1179583669
-744292385,,32,20,-1542820153
-59724965,,31,9,-2060255553
-296956615,,30,5,1529405426
-79674424,,30,4,648888488
499154756,,29,8,-891166532
1626433799,,29,3,-954454012
-52914232,,29,7,-1478134817
278229779,,29,5,-128460672
893431834,,28,3,1032218150
-61995288,,28,12,2073264910
1028518636,shade_turret,28,14,-1825803927
1168311753,,28,2,1878086486
1226228092,,28,2,-171550821
-449496496,,27,8,572809319
46122146,,27,4,30196566
361074014,,27,4,-41036279
1660877363,,26,6,1758925597
357232377,,26,5,1445179196
1947199270,,26,1,-1185462116
1611081191,,26,11,-1668138847
-662668195,,26,8,651298924
-486498234,,26,5,1954687318
-740827711,,26,10,697575242
46615063,,26,2,-1974152881
-1940433248,,26,3,-1494490196
-1591814884,,26,4,-1029927331
-2010472092,,25,11,-2039201014
1070074565,,25,6,-1524677849
-769222848,,25,2,1936854201
-1225254510,,25,5,1420355790
-716040017,,25,9,-2092644165
-476657963,,25,3,-1632146835
1150891442,,25,11,-382305004 1914717085
1997547608,spike_grenade,24,1,475600440
292667125,,24,5,1795051422
118133592,,24,9,-2023668048
-219174009,,24,11,801517767
1936870103,,24,4,-291599213
2880220,,24,1,-425933955
-733956017,,24,4,-325952292
1356828392,,23,4,156040274
1004437633,,23,8,-784231167
-300142419,,23,6,344095595
350292934,,23,7,-352085645
893075595,,23,5,-644173482 1184897444
-1361151886,,23,5,-963942518
-480588515,,22,7,517700002
-896555608,,22,5,1676121395
415851108,,22,5,379913046
-461680705,,22,9,-1551309004 -1105826534 -295994183 1795700261
-169580292,,22,4,1308888558
-445437944,,21,2,1111753378
895169895,,21,4,1384052742
781636230,,21,1,-1546725879
-1831612405,,21,3,-438464349
1192059526,skull_weapon,21,21,-1342546397
110530774,,21,3,-1075263194
1919621118,,21,9,-1822126879
457279169,,21,1,1575955596
1761215923,,21,5,-1436517628
20039180,,21,4,-926310053
-295831668,,21,4,1180513176
170504139,,20,11,343968936
600307218,base_green,20,4,-1216342560
1397855727,,20,5,-1526821055
-61787807,,20,3,-2901354
9847400,,20,4,1726644032
1780701130,,20,4,29284719
555799542,,20,7,-920468757
1667826643,,20,5,-1020495528
1837729941,,20,2,1639518531
-1093796367,,20,4,1278136364
-1428729545,,20,7,1023121703
1029649325,,20,10,-1751154772
-206956701,,20,5,365968686
-1441826795,,20,4,40461437
-1885956548,,19,4,804524420
-1228950946,,19,3,1219126943
-331615244,,19,3,-1610010625
158399189,,19,2,1659531916
1729035731,,19,7,781409625
399952419,,19,1,11528644
1555014708,,19,5,-1869963762
-1921597637,,18,5,44086673
523324780,,18,6,-419185602
-305675145,,18,4,1982159305
-497370180,,18,5,333398171
-2140204701,,18,2,-1060199956
-1401729592,,18,6,352792487
-2090744679,,18,10,-737456654
-38367290,,18,2,72592504
1573375704,,18,3,-629827816
-766741915,,18,3,-906277153
-1717374227,,17,6,-1265563232
1442767649,,17,3,302261060
1232077724,,17,9,1906347531
1904150321,,17,4,-1583975637
350937589,,17,4,1655986368
-451854498,,17,9,1789080723
-1398219642,,17,5,-400138457
257468308,,17,8,-149764982
-1325696411,,17,10,1073062991
1278607782,,17,7,1000978784
1772061742,,17,6,500437347
934326349,,17,6,55656354
-606860236,,17,8,-970666283
1640215698,,16,3,-1026591636
2040960035,,16,4,-251206445
-158478468,,16,2,437525139
-1582523676,,16,4,316771842
16252226,,16,5,-783726769
-1745711656,,16,4,-1773436473
-1605135088,,16,4,-236639849 706918013
-1305933516,,16,2,949417702
-1377093129,,16,2,-1678436540
-853302265,,16,3,1842095303
-1591881024,,16,2,-946900146
-1445336117,,16,4,-405183715
-1001803449,,15,4,209024185
-1794656314,,15,2,-1535936332
57552501,,15,5,-1473092181
-817109265,,15,3,-1963984590
-510472815,,15,7,2019450185
-1442958834,,15,2,-662225735
-420237604,,15,4,-1964876779
1743789403,,15,5,-701484517
1306581552,,15,4,-1228539549
-1437087146,,15,5,2126038600
-810401762,,15,6,-1524305859
-2055800967,,14,2,1884443954
876218499,,14,4,1093281612
203787130,,14,1,1631593695
1504373692,,14,4,-1344747203
-752208995,,14,8,203860946
2119773107,,14,1,1346198464
-350614712,,14,5,-1619396107
1176938298,,14,4,2105466915
-1358156331,,14,3,953531472
-943233028,,14,2,1061424520
-1132357159,,14,1,1362435656
197493659,,14,2,-1531733007
-1194436801,,13,1,249120186
-1396226731,,13,5,706918013
-1954005231,,13,1,1701028917
1166306067,,13,2,1029447838
1276243536,,13,6,377683120
-522028879,,13,5,-989407298
1189872317,emissive,12,3,-2003862149 -1493834603 -1448834841 -607352333 199099927 414820014
-2131192607,,12,5,-64143109
-2101214601,,12,3,-1246665029
-1300190424,,12,3,1073654458
824296858,,12,1,-1042498405
137815443,,12,3,61467121
-1122564365,,12,3,1694209988
543258526,,12,1,1938661417
-1715754610,,12,2,-1253505141
-1259588521,,12,2,-1693673701
853836016,,12,6,352792487
-420326922,,12,4,850653163
-1993501990,,12,2,-1739663041
1751979520,,12,5,-2131516968
-1313625455,,12,2,-2073603947
-705024966,,12,3,-1661188527
1526380535,,11,4,-611906903
-897246938,,11,3,782661425
1267043408,,11,6,915738895
1515399767,,11,3,-1320204628
-874619838,,11,2,-884401872
1695977647,,11,6,-235229964
-699601294,,11,2,-515341895
1489198209,,11,3,659210529
-1337539316,,11,5,-1909914527
17214301,,11,3,258200680
-611385325,white,11,4,-902976173 -782496155 1420355790
-1385335401,,11,7,-1114371720
1521860123,,11,4,-1492727682
-1966061956,,11,5,352792487
394259603,,11,3,1581648278
-666573275,,11,5,-714550662
-1509439111,,11,2,-1665045823
-512217511,,11,6,-682096080
-880990846,,10,5,1623923366
1302782698,,10,3,1169238056
689374179,,10,4,-548764485
-1417534579,,10,1,-1221222179
1949598901,,10,7,-7243787
-391602416,,10,3,564709152
-729389,,10,3,-233248761
-984260737,,10,2,-782496155
1226816251,,10,2,-1646430977
987076962,,10,6,1448480031
-1698162386,,10,1,609300738
625385406,,10,3,-1342342028
725341294,,10,3,1699005788
472858667,,10,2,312704733
975624595,,10,2,1694480405
-847326347,,10,2,-1013970864
-310100071,,10,5,611226816
-625341729,,10,3,488032920
-934072126,,10,3,810667062
554638121,,10,2,-1729189629
-1304885879,,10,2,-2139995824 330658077
1709137562,,10,5,-141288953
-188936615,frag_grenade,10,1,-113703634
1455922937,,10,2,83469709
-763486702,,10,4,1373941067
-185971748,,9,3,325380620
451909074,,9,4,751870163 1063565843
353618044,,9,5,-1741566255
-2089941658,,9,5,-276486461
704443930,,9,3,256848710
-1960377578,,9,4,725529687
1709318838,,9,6,-1768933402
-1819990322,,9,5,-1995894181
-568121384,,9,5,98683825
-301739076,,9,4,-1664225091
1770496299,,9,7,-1216174513
-462335335,,9,5,-2054522778
1138546863,,9,1,1100828142
-210628824,,9,2,2072511819
142546644,,9,3,748403399
-1504111990,,9,5,-1528748316
-262278708,plasma_turret,9,5,1304071901
2131103740,,9,4,71839812
1993540449,,9,6,641016943
-1105874398,locked,8,6,-204435982 731035848
1133634971,,8,2,-1076944025
552336292,,8,4,-408487458
1174386162,,8,4,-1426553884
850710990,,8,1,424651346
-177532429,,8,4,562362456
-953933574,,8,1,-972860911
1064906439,,8,4,1233051095
-687857495,,8,2,1252397759
-324423533,,8,3,-69406623
-1353826505,,8,2,1744456276
-1293950396,,8,1,1758669707
1460836941,,8,4,-1022887380
-1729906041,,8,2,-826804385
230724326,,8,2,960472919
-1101047884,,8,1,-972860911
686309502,,8,3,-1966810992
1463469424,,8,1,133379520
-268748989,,8,2,-451286449
1023353761,,8,3,545089494
1397571798,,8,1,-1363183485
136221534,,8,3,-1693281964
-111396194,,8,3,20764336
1044480053,,8,2,295928660
-2047123422,,8,1,-1079449719
-2050255853,,8,2,-960803919
961579515,,8,5,-2140638365 1337005876
1296874583,,8,4,1176787669
313179376,,8,6,-325952292
-595541216,,8,3,1368007428
1091229692,,8,2,1119812098
-511818772,,8,3,473638307
847271535,,8,5,126943831
-497564323,,8,2,-561366239
917821933,,7,4,-566547277
-1921332447,,7,4,-630974711
-84789771,,7,5,-1755375476
-104888080,,7,1,713926422
1476400071,,7,1,492477909
1632536917,,7,4,-902976173
-1902883242,,7,2,-637514588
1164390811,,7,4,697896357
1880549520,apple,7,3,-642689624 103845476
-841875826,,7,1,-1986275633
1924565062,,7,3,-1457986597
-1048554342,,7,2,-1861509018
720251787,,7,7,-1545927443
-608271265,,7,6,-886493751
1651688332,,7,1,-721211983
-1051546406,,7,4,986037764
-1857578812,,7,3,-1057470732
1011513503,,7,2,105375370
-663964680,,7,2,2058571962
-1443456451,,7,3,-824866137
-1214677742,,6,3,-2137591871
1977724336,phantom,6,1,-411259918
1779042054,,6,5,1101014104
2000967901,,6,2,-804440436
-1768367325,,6,1,-1697424621
979218580,,6,4,399695140
1977604887,,6,5,-1610895870
-1673169740,,6,3,-917222586
-1579466991,,6,4,1581171901
1741256002,,6,2,562362456
713899135,,6,1,1764940869
1632607132,,6,2,-457519039
-1185964214,,6,2,-634235192
1305321149,,6,3,-1525038282
-1180379594,,6,3,-79977010
1569531691,,6,3,1232497409
-1065090898,,6,3,-1665045823 44086673
1825615908,,6,2,1222961709
1095465084,,6,2,1162311902
775941823,,6,6,-1105826534
-902778569,,6,2,-1213571076
-1017177081,,6,2,751943847
-65644430,,6,4,310710685
46035917,,6,2,161150265
341521201,,6,2,-295994183
-696630780,,6,1,1516769259
523185893,,6,2,1149163978
-1696849899,,6,2,-827242762
2079728090,,6,1,-446869158
218031286,,6,4,-517555982
-1173180728,,6,4,322569432
-1858806069,,6,5,-485155920
764734939,,6,2,1594149931
1071206894,,5,3,1196467134
-749856165,,5,3,-960554634
-1825312128,,5,3,960346775
-930696077,,5,5,1210572661
1768949342,,5,1,877432973
-604981310,,5,4,421404880
782778962,,5,2,-855934447
-968015099,,5,1,-1693673701
2002869791,,5,1,-1040591389
1172513763,,5,3,-1813152991
1421778099,,5,2,424357459
-786181361,,5,3,795139849
941900441,,5,2,27445304
-631580769,,5,5,-932348736
-107279340,,5,3,1124365800
-894372097,,5,1,1115186665
1322096992,,5,1,-1878826386
1900395492,,5,1,1623725548
-430430554,,5,5,-1728338308
-533411753,,5,3,-1409453888
-528535869,,5,5,380605324
455699464,,5,1,-691883131
-264169979,,5,2,-630070396
-309944646,,5,1,-742193113
2137471997,,5,5,-566547277
217474341,,5,4,-270422898
-279297481,,5,2,1377394980
-1779354378,,5,1,132197456
1184099625,,5,2,1634867256
-583740799,,5,3,-586525821
680751866,,5,1,506006892
-1495498121,,5,1,1090870094
1506897486,,5,5,-1529003058
-1773702856,,5,3,-374294945
-852743470,,5,2,219338740
-904227161,,5,3,-1624498794
-371536384,,4,1,1173466296
-2031641008,space,4,2,1255341472
-699484381,,4,2,-322346632
751793754,,4,4,-1551309004
547301663,,4,1,1371673975
805054597,,4,4,-229359031
-1522603327,,4,2,1189394738
1003940154,,4,2,312704733
-582013573,,4,3,1153658114
1063919886,mongoose,4,2,-870843776
1473114081,,4,2,-1861509018
-24943979,,4,1,2023521157
2122988791,,4,1,1430091588
1700679636,,4,1,-1869606436
-115805911,,4,2,-2103231105
270435800,,4,1,-2083528368
664656408,,4,3,-397671536
1804680100,,4,1,1604214386
-480189386,,4,1,916290546
-62968905,,4,2,-1859560276
-1966163397,,4,1,-634349675
385628844,,4,2,-1619352010
1643434156,,4,2,622020449
-1895691915,,4,2,1294761106
346172527,,4,3,1670996247
-697631948,,4,1,451624981
809517850,,4,1,-505104623
-90233318,,4,2,1118253092
552000910,,4,2,1970474559
858092838,,4,1,1150182783
28763570,,4,3,-44469856
-556589111,,4,1,1061131721
1688254107,,4,2,2121485129
662627443,,4,3,900868568
657313837,,4,1,595352945
-1551137324,,4,2,-1422001974
-1220206438,,4,1,-725281394
-1401687842,,4,2,1592952959
1403109065,,4,1,60452899
-1649486872,,4,1,2012352573
-584793610,,4,2,523266499
-405809768,,4,1,377337736
-1217824844,,4,3,-286481088
581246710,,4,2,-1978269215
2075812446,,4,1,-84498782
-148861502,,4,1,288618517
2135319871,,4,4,1459874653
-368961076,,4,1,-1872690466
289462474,,4,2,1436709533
392874561,,4,3,1288492248
-1291809702,,4,1,388733565
-793496442,,4,1,-1395561401
-1563388967,,4,2,542514403
-248758831,,4,3,252201636
734819016,,4,4,1541665944
-1011520108,,4,2,-1838788030
-492489844,,4,1,-2031940072
405206921,,4,4,-1745756843
2010152917,base_yellow,4,4,1174542926
-1852624298,,3,1,-1419283161
-1025093968,,3,1,361417665
-1693202696,,3,2,1225556967
-662361025,,3,1,-2088317090
-1087066335,wasp,3,2,-522135259
2055641739,,3,2,-1379991988
-1804484739,,3,1,-1701791756
1083336915,,3,1,352792487
243392809,,3,1,-1963984590
-1931616328,,3,1,1502357539
1053248696,,3,1,-10756243
-1215756745,,3,1,2028122684
-688781659,,3,2,-1425628693
-570881811,,3,1,-1139755994
-421168608,,3,3,1817752657
-2040868732,,3,1,1933605058
1712027727,,3,3,917421728
102016134,,3,3,304138041
1073248370,,3,1,488372907
-2051446562,,3,1,324863797
31326200,,3,2,-1809510764
-872283981,,3,3,-1107954632
-423662339,,3,2,134001710
-407770823,,3,2,-2072071754
2133092197,,3,3,-497476658
1309677139,,3,1,-1699210730
-1210455647,,3,3,-1771771675
313138863,assault_rifle,3,1,-2109845990
-976602164,commando_rifle,3,1,-1022221022
-68630304,,3,1,604375006
947398875,,3,3,-1336663490
353651793,,3,1,27382432
526162922,,3,1,-438464349 1384052742
-110193691,,3,2,-1467259218
-114646368,,3,3,540631147
1940204726,,3,1,421404880
-1486815470,,3,1,1850284014
-940182129,,3,3,-2032305908
-801036786,,3,3,978787156
-1256092114,,3,1,-1835432896
706967582,,3,3,-1126702244
-578186260,,3,1,-208562
-982217491,,3,2,-557583667
-1061170471,,3,1,-183886613
349319611,bandit,3,1,840393731
2091573355,,3,1,-503487581
957453265,,3,1,-2018479642
-1834087124,plasma_grenade,3,3,-1336095237
-602159245,,3,1,-1934210690
2036722571,,3,1,1454791351
1974702666,,3,3,751870163
-113166410,,3,1,1595564777
-1475099170,,3,3,906349410
504886989,,3,2,1849495252
669296699,sniper_rifle,3,1,2144269878
-1764569006,,3,2,-1838502611
-1578725581,,3,2,934615536
-1130994443,,2,1,2098958664
1433485467,,2,1,136883186
1193684731,,2,1,-1145610689
-774292134,,2,2,-1440891342
972383305,,2,2,-1070296450
-2016892765,,2,1,-1206641528
1857727651,,2,2,-1183963014
-886803185,,2,2,1569784078
-54952876,,2,1,1005874352
882642401,,2,1,-834973679
534284949,,2,2,1265148072
959013842,,2,2,1093384855
-765971943,,2,1,1291298885
-1932815007,,2,2,1994740405
-124332937,,2,2,1584160294
2127899389,,2,1,-275634364
-227760335,,2,1,1763756021
2072964797,arrow,2,2,1999148722
134244927,,2,2,1272904206
1223097066,,2,1,-1859560276
-971463458,,2,2,1789381662
119933080,,2,1,728794582
-1285410037,,2,1,1965433030
-1621509560,,2,1,1401278881
-466286610,,2,2,-417418280
-1789764247,,2,2,2112346303
-566782128,,2,1,645383282
-1017723683,,2,2,369742019
-1434378131,,2,1,-732424716
-1140093281,,2,2,271068365
1523217147,,2,1,2017413318
-1310703839,,2,1,1003194703
840875055,,2,2,-1624245739
-1708230168,,2,1,-849768501
-1117233822,,2,2,-1076429309
-933490215,,2,1,505856624
-1055731660,,2,1,1794131831
-573124227,,2,2,-1973246387
1566407127,,2,1,382043438
535931675,,2,1,1064662203
-1270816763,,2,1,1759788903
2094318993,,2,1,-1428118261
-399067821,,2,2,2043217753
-306373776,,2,1,546301620
708392321,,2,1,1342572598
-858037287,,2,1,-2121329010
-936706661,,2,2,1381550813
-791111586,,2,1,-1656690369
1657877084,,2,2,-73067154
-1451540802,,2,1,832201110
-1923342179,,2,1,1474104395
-1671375184,,2,2,-1888177891
-266450505,warthog,2,1,-262750720
1553002689,,2,1,-1475480049
1923937576,,2,1,-844955619
-1897370648,,2,1,1765622379
2115618686,,2,1,24646342
877308732,,2,1,-1577788172
-710203993,,2,1,-982325846
-1883559780,,2,1,352074277
400624445,,2,2,-1709171520
-188655214,,2,1,-787155964
1119311912,,2,1,1193558886
829475197,,2,1,-405749083
818179662,,2,2,-159867490
1313782505,,2,1,-1854084274
2139666462,,2,1,-879449788
1754867886,,2,1,-1280545205
-297494798,,2,2,-952468892
384443684,,2,1,-466132372
1877579558,,2,2,-1148505634
253574776,,2,2,496678323
-915345425,,2,1,-1251061146
800524055,,2,1,-1351903738
1111782137,,2,2,1899734339
-466715165,,2,2,1355228975
-1275472537,,2,1,42519679
1961008485,,2,1,-1285736482
1030936098,,2,2,-514099966
-1187529539,,2,1,1118253092
912482460,,2,1,1163992209
1647023875,,1,1,-736123431
-785716819,,1,1,-2112696368
-1364732978,,1,1,-586835972
1602780201,,1,1,1795113272
-22226791,,1,1,-25855440
-178115665,,1,1,1525887908
-1511147727,,1,1,-1266228946
322871580,,1,1,1324141321
1014355171,,1,1,-642689624
1744131646,,1,1,670822872
780674867,,1,1,1249429617
452539856,,1,1,1575871864
-1879081044,,1,1,1636001508
1813771878,,1,1,-1169694338
-1003278891,,1,1,-1233115690
1475095629,,1,1,-267819784
1372020061,,1,1,-902390836
-313705621,,1,1,-105823600
-1790349487,,1,1,1732400932
433468595,,1,1,1752123994
1658291232,,1,1,1677263530
-1411447852,,1,1,1992095079
895071223,,1,1,1986991815
141594447,,1,1,-548445194
-1016291971,,1,1,1840025885
-771564117,,1,1,895945095
-1275229612,,1,1,-687325913
1671110825,,1,1,-529749711
2078961988,,1,1,-3586593
419783896,banshee,1,1,-1718495603
932906781,,1,1,1990979058
-116545816,,1,1,-1103034141
-285150634,,1,1,2126055360
-1212669395,,1,1,639717527
-1982344037,,1,1,1324037037
-414455281,,1,1,-221326530
-1363179714,,1,1,725529687
-788106131,,1,1,-467387898
494280264,,1,1,-381729683
-450408845,,1,1,129892878
709230551,,1,1,1070401816
-166486435,,1,1,-760331540
-1085664249,,1,1,1906623594
-1711331068,,1,1,491855435
-1284820930,ghost,1,1,666920711
-1531676798,,1,1,-884163159
-421903840,,1,1,-1653235357
1244674371,,1,1,-335331235
-153054458,,1,1,-1793949895
-687516368,,1,1,1848398497
-1738874202,,1,1,2040200938
-436063030,,1,1,1759788903
729455624,,1,1,395625988
-1870880581,,1,1,-1306854903
-379279780,,1,1,-1885616292
-276668823,,1,1,-1656731091
365416676,,1,1,1795113272
-1660425738,,1,1,1027497781
-85894645,,1,1,-1930256747
-1739364160,,1,1,-869845555
-1962673259,,1,1,-716539956
-1918575332,,1,1,-191180189
-1847613636,,1,1,1759788903
-621671227,,1,1,-2112696368
-316239166,,1,1,-1534056042
377653661,,1,1,-1967873753
571962537,,1,1,886119887
164901569,,1,1,2062928760
1737758486,,1,1,-381729683
153342634,,1,1,-1576315425
320215483,,1,1,-147195635
-847581739,,1,1,1647130981
867227989,,1,1,-1815132224
-1276114900,,1,1,1759788903
482308345,,1,1,-1814880870
115954635,,1,1,1299238834
310187938,,1,1,2076555854
-335595873,,1,1,-800199945
-1552699429,,1,1,1151541689
-1336508953,,1,1,1525887908
-1880931508,,1,1,-1779733128
-1579645502,,1,1,1690350921
-1043081254,,1,1,-553314802
1768203418,,1,1,-1446049815
1592665292,,1,1,2064246295
-653600625,,1,1,1697653171
-476014645,,1,1,1171791424
1730553442,scorpion,1,1,1503350133
388224988,,1,1,918263689
1984637174,,1,1,1302881900
1610294718,,1,1,-758540775
1514861450,,1,1,-1483049431
433659028,,1,1,-381729683
-1730697123,,1,1,155173109
880320461,,1,1,1051502079
-419455089,,1,1,197290350
-1601457871,,1,1,674809047
-1746677948,,1,1,1698199708
-1201836365,,1,1,1357989072
1547946331,,1,1,-295307929
