carte,objectifs,avec_forme,sans_forme,roles_sans_forme
highpower_heavies_btb_highpower.mvar,21,2,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
highpower_heavies_map.mvar,26,7,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
highpower_map.mvar,28,9,19,flag_delivery:2|flag_spawn:8|oddball_spawn:3|stockpile_socket:6
highpower_sentry_defense_btb_highpower.mvar,26,7,19,flag_delivery:2|flag_spawn:7|stockpile_socket:10
highpower_sentry_defense_map.mvar,20,7,13,flag_delivery:2|flag_spawn:8|stockpile_socket:3
houseki_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
houseki_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
illusion_ctf_illusion.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
illusion_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
insolence_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
insolence_heavies_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
insolence_heavies_map.mvar,16,2,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
insolence_map.mvar,23,9,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
isolation_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
isolation_map.mvar,14,3,11,flag_delivery:2|flag_spawn:8|oddball_spawn:1
kaiketsu_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
kaiketsu_map.mvar,8,3,5,flag_delivery:1|flag_spawn:3|oddball_spawn:1
kiken'na_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
kiken'na_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
lattice_-_ranked_fo13_frost.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
lattice_-_ranked_map.mvar,4,3,1,oddball_spawn:1
launch_site_map.mvar,20,11,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
launch_site_va_launchsite.mvar,15,9,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
live_fire_-_ranked_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
live_fire_-_ranked_sgh_interlock.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
live_fire_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
live_fire_sgh_interlock.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
merchant's_square_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
merchant's_square_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
nadair_fo11_blank.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
nadair_map.mvar,4,0,4,flag_delivery:2|flag_spawn:2
nemesis_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
nemesis_map.mvar,21,7,14,flag_delivery:2|flag_spawn:2|oddball_spawn:4|stockpile_socket:6
oasis_btb_exiled.mvar,14,5,9,flag_delivery:2|flag_spawn:7
oasis_firefight_btb_exiled.mvar,14,5,9,flag_delivery:2|flag_spawn:7
oasis_firefight_map.mvar,14,5,9,flag_delivery:2|flag_spawn:7
oasis_heavies_btb_exiled.mvar,9,0,9,flag_delivery:2|flag_spawn:7
oasis_heavies_map.mvar,14,5,9,flag_delivery:2|flag_spawn:7
oasis_map.mvar,20,7,13,flag_delivery:2|flag_spawn:8|oddball_spawn:3
oasis_sentry_defense_btb_exiled.mvar,14,5,9,flag_delivery:2|flag_spawn:7
oasis_sentry_defense_map.mvar,15,5,10,flag_delivery:2|flag_spawn:8
obituary_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
obituary_heavies_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
obituary_heavies_map.mvar,16,2,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
obituary_map.mvar,16,2,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
opulence_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
opulence_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
origin_-_ranked_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
origin_-_ranked_map.mvar,13,5,8,flag_delivery:2|flag_spawn:2|oddball_spawn:4
origin_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
origin_map.mvar,13,5,8,flag_delivery:2|flag_spawn:2|oddball_spawn:4
outlook_fo13_frost.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
outlook_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
perilous_fo08_wetland.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
perilous_map.mvar,4,3,1,oddball_spawn:1
pharaoh_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
pharaoh_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
prism_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
prism_sgh_crystalcaves.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
rat's_nest_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
rat's_nest_map.mvar,18,7,11,flag_delivery:2|flag_spawn:5|oddball_spawn:4
recharge_-_ranked_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
recharge_-_ranked_sgh_blueprint.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
recharge_map.mvar,19,10,9,flag_delivery:2|flag_spawn:3|oddball_spawn:4
recharge_sgh_blueprint.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
refuge_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
refuge_heavies_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
refuge_heavies_map.mvar,13,9,4,flag_delivery:2|flag_spawn:2
refuge_map.mvar,26,11,15,flag_delivery:2|flag_spawn:3|oddball_spawn:4|stockpile_socket:6
ronin_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
ronin_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
salvation_map.mvar,6,0,6,flag_delivery:2|flag_spawn:2|oddball_spawn:1|strongholds_zone:1
scarlett's_landing_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
scarlett's_landing_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
scarr_btb_engine.mvar,9,0,9,flag_delivery:2|flag_spawn:7
scarr_map.mvar,19,7,12,flag_delivery:2|flag_spawn:7|oddball_spawn:3
shiro_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
shiro_map.mvar,7,3,4,flag_delivery:2|flag_spawn:2
shogun_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
shogun_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
smallhalla_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
smallhalla_map.mvar,27,10,17,flag_delivery:2|flag_spawn:8|oddball_spawn:1|stockpile_socket:6
snowbound_fo13_frost.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
snowbound_map.mvar,29,10,19,flag_delivery:2|flag_spawn:8|oddball_spawn:3|stockpile_socket:6
solitude_-_ranked_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
solitude_-_ranked_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
solitude_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
solitude_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
solution_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
solution_map.mvar,9,3,6,flag_delivery:1|flag_spawn:4|oddball_spawn:1
starboard_fo03_space.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
starboard_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
streets_-_ranked_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
streets_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
streets_sgh_streets.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
sylvanus_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
sylvanus_map.mvar,11,10,1,oddball_spawn:1
takamanohara_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
takamanohara_map.mvar,8,3,5,flag_delivery:2|flag_spawn:2|oddball_spawn:1
the_pit_fo09_academy.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
the_pit_map.mvar,14,8,6,flag_delivery:2|flag_spawn:3|oddball_spawn:1
threshold_fo11_blank.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
threshold_map.mvar,20,9,11,flag_delivery:2|flag_spawn:6|oddball_spawn:3
thunderhead_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
thunderhead_heavies_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
thunderhead_heavies_map.mvar,21,7,14,flag_delivery:2|flag_spawn:6|stockpile_socket:6
thunderhead_map.mvar,31,15,16,flag_delivery:2|flag_spawn:7|oddball_spawn:1|stockpile_socket:6
urban_raid_fo09_academy.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
urban_raid_map.mvar,9,2,7,flag_delivery:2|flag_spawn:2|oddball_spawn:3
vagabond_fo08_wetland.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
vagabond_map.mvar,4,3,1,oddball_spawn:1
vallaheim_firefight_fo05_desert.mvar,20,5,15,flag_delivery:2|flag_spawn:2|oddball_spawn:1|stockpile_socket:10
warehouse_fo11_blank.mvar,22,5,17,flag_delivery:3|flag_spawn:3|oddball_spawn:1|stockpile_socket:10
warehouse_map.mvar,7,3,4,flag_delivery:2|flag_spawn:2
