nom,map_id,famille,fond_cle,canevas_declare,declaree_forge,n_ancres,module_cat,mvar_attendu,matchs
Salvation,cd08bc7a-7ba5-4502-be87-c58b641fc94d,forge,cd08bc7a-7ba5-4502-be87-c58b641fc94d,fo11_blank,true,12,salvation_map,salvation_map.mvar,12
Scarlett's Landing,79042fc0-ba3d-4046-aa97-5a6902462531,forge,79042fc0-ba3d-4046-aa97-5a6902462531,fo08_wetland,true,9,scarlett's_landing_map,scarlett's_landing_map.mvar,1
Shiro,2890782c-0a33-4f2c-a468-e3a7d6cd6db4,forge,2890782c-0a33-4f2c-a468-e3a7d6cd6db4,fo05_desert,true,12,shiro_map,shiro_map.mvar,18
Shogun,33075df7-01c8-40e1-8b3e-1baee0054c76,forge,33075df7-01c8-40e1-8b3e-1baee0054c76,fo11_blank,true,13,shogun_map,shogun_map.mvar,9
Smallhalla,98783453-ce40-4020-9e87-62099a290b62,forge,98783453-ce40-4020-9e87-62099a290b62,fo08_wetland,true,52,smallhalla_map,smallhalla_map.mvar,9
Snowbound,410f1c01-aca6-4567-9df5-9b16bd550cb2,forge,410f1c01-aca6-4567-9df5-9b16bd550cb2,fo13_frost,true,43,snowbound_map,snowbound_map.mvar,23
Solitude,f1cc3b4e-471c-4ec5-b855-1db7d9e6ce42,forge,f1cc3b4e-471c-4ec5-b855-1db7d9e6ce42,fo11_blank,true,19,solitude_map,solitude_map.mvar,12
Solitude - Ranked,4a5e5612-2b2e-4375-a0b3-9335a68815f3,forge,4a5e5612-2b2e-4375-a0b3-9335a68815f3,fo11_blank,true,19,solitude_-_ranked_map,solitude_-_ranked_map.mvar,5
Solution,ee43d273-8677-45c2-a8cd-aedd2c463dc9,forge,ee43d273-8677-45c2-a8cd-aedd2c463dc9,fo05_desert,true,19,solution_map,solution_map.mvar,7
Starboard,7a9265af-a880-487b-8829-68d88fcfb145,forge,7a9265af-a880-487b-8829-68d88fcfb145,fo03_space,true,12,starboard_map,starboard_map.mvar,24
Sylvanus,95b69e4b-485f-4c6c-9b00-4bd68c94c1e9,forge,95b69e4b-485f-4c6c-9b00-4bd68c94c1e9,fo05_desert,true,17,sylvanus_map,sylvanus_map.mvar,10
Takamanohara,edcd4467-6846-455f-ac44-f1034476f774,forge,edcd4467-6846-455f-ac44-f1034476f774,fo11_blank,true,12,takamanohara_map,takamanohara_map.mvar,15
The Pit,648ae7aa-c5d0-4f80-861a-79eb30440fcb,forge,648ae7aa-c5d0-4f80-861a-79eb30440fcb,fo09_academy,true,20,the_pit_map,the_pit_map.mvar,22
Threshold,ddbb3a00-b109-4703-af07-00433512af38,forge,ddbb3a00-b109-4703-af07-00433512af38,fo11_blank,true,20,threshold_map,threshold_map.mvar,5
Thunderhead,28a3ac28-f69d-4fa9-9ebf-a0449c89c8da,forge,28a3ac28-f69d-4fa9-9ebf-a0449c89c8da,fo08_wetland,true,46,thunderhead_map,thunderhead_map.mvar,4
Thunderhead Heavies,37bc3df6-93e8-4d74-b16e-5ceaa30ebc23,forge,37bc3df6-93e8-4d74-b16e-5ceaa30ebc23,fo08_wetland,true,36,thunderhead_heavies_map,thunderhead_heavies_map.mvar,4
Urban Raid,be848f91-3d87-4b80-8eb9-df3b52cb8d10,forge,be848f91-3d87-4b80-8eb9-df3b52cb8d10,fo09_academy,true,9,urban_raid_map,urban_raid_map.mvar,2
Vagabond,105f5d84-8de1-4908-af3a-1c4f3bf9d642,forge,105f5d84-8de1-4908-af3a-1c4f3bf9d642,fo08_wetland,true,9,map,vagabond_map.mvar,16
Vallaheim Firefight,e8268e75-6583-42ad-9e0c-2d2f043f5f0f,forge,e8268e75-6583-42ad-9e0c-2d2f043f5f0f,fo05_desert,true,5,vallaheim_firefight_map,vallaheim_firefight_map.mvar,2
Warehouse,5b12d6d9-1b5c-4eac-b2a9-de4c36b8a6d3,forge,5b12d6d9-1b5c-4eac-b2a9-de4c36b8a6d3,fo11_blank,true,7,warehouse_map,warehouse_map.mvar,1
Aquarius,33c0766c-ef15-48f8-b298-34aba5bff3b4,inconnu,,,false,,,,9
Argyle,dd600260-d91c-4d77-9990-3f35873c90a1,inconnu,,,false,,,,22
Bazaar,298d5036-cd43-47b3-a4bd-31e127566593,inconnu,,,false,,,,3
Breaker,6a147baf-b9c0-489e-8f04-8c6676c948d2,inconnu,,,false,,,,4
Chasm,fc1ced39-128b-439d-9b44-4710225090f3,inconnu,,,false,,,,10
Cliffhanger,81274d6f-6a94-425a-a16e-3bdb1e2eea9d,inconnu,,,false,,,,9
Cole Protocol,571afb7f-63c3-40a4-9c21-06ef921eb415,inconnu,,,false,0,cole_protocol_map,cole_protocol_map.mvar,1
Deadlock,6f82df05-3b24-4746-8579-e0c5ef9e9d64,inconnu,,,false,,,,13
Detachment,d39600e2-3c35-4a3a-bdf5-7b3cbdde98e1,inconnu,,,false,,,,25
Dynasty,90cd321d-1439-49de-943d-06245a407909,inconnu,,,false,,,,1
Forest,619bea21-f1e6-461f-8a7d-2bb4f905d0ca,inconnu,,,false,,,,2
Fragmentation,068f41f4-e3dd-4bec-b297-d2ded85ab54b,inconnu,,,false,,,,12
Houseki,6439625e-277b-4da9-9502-eefedb186ba8,inconnu,,,false,,,,1
Live Fire,b6aca0c7-8ba7-4066-bf91-693571374c3c,inconnu,,,false,,,,18
Oasis,7aa6fed5-4c21-43dd-b740-2fae8c971517,inconnu,,,false,,,,5
Recharge,8420410b-044d-44d7-80b6-98a766c8c39f,inconnu,,,false,,,,8
Salvation,f633db01-3989-41d1-b6d4-bf2d220fc619,inconnu,,,false,,,,3
Scarr,ccb81e1f-ce22-4017-97bb-f46b181eb8f7,inconnu,,,false,,,,5
Shiro,2962c4e0-ab15-4979-8d28-c0792632c862,inconnu,,,false,,,,1
Shogun,8f51ccb9-7dc8-4bfb-8fca-6d84d0101ac0,inconnu,,,false,,,,1
Starboard,50771a22-62a7-4f1f-8982-3403857ba225,inconnu,,,false,,,,1
Streets,f0a1760f-0d4a-4bcc-ac7a-e8f9aee331dc,inconnu,,,false,,,,11
TFF | Night Of The Undead,ae4daed6-251a-4c2f-bc6f-eb25eac1bfd8,inconnu,,,false,,,,1
Aquarius,c395f3ac-4614-45f9-a83a-56f69e8ae962,natif,ctf_aquarius,,false,22,aquarius_map,map.mvar,44
Aquarius - Ranked,667072ae-ba00-4414-adda-8203e8c49295,natif,ctf_aquarius,,false,20,aquarius_-_ranked_map,map.mvar,1
Bazaar,3e1e4cec-4f2c-44c6-b8d2-96b85c66c702,natif,ctf_bazaar,,false,19,bazaar_map,ctf_bazaar.mvar,53
Behemoth,e9a5a982-6c4e-4db6-9383-7b03671460eb,natif,va_behemoth,,false,24,behemoth_va_behemoth,map.mvar,44
Breaker,e6cbfe01-665b-4a8c-bf3a-d63a65a7c890,natif,ctf_breaker,,false,42,breaker_map,ctf_breaker.mvar,62
Breaker Heavies,953dc3e2-943f-4ae3-abdd-b4be2a6a7a3a,natif,ctf_breaker,,false,37,breaker_heavies_map,ctf_breaker.mvar,10
Catalyst,f7e8cde9-0c0a-487c-94a3-61bfa0f20465,natif,catalyst,,false,25,catalyst_map,map.mvar,46
Catalyst,e859cf75-9b8a-429a-91be-2376681c8537,natif,catalyst,,false,20,catalyst,catalyst.mvar,2
Chasm,a455572d-3141-48bc-ac55-dac78d9b52c9,natif,chasm,,false,24,chasm_map,map.mvar,42
Cliffhanger,5324364b-39a8-4f93-96a6-b80a1f18ce8a,natif,ridgeline,,false,24,cliffhanger_ridgeline,map.mvar,49
Deadlock,08607bf4-6abe-4a5b-9547-290a6cc1433e,natif,btb_drydock,,false,41,deadlock_map,btb_drydock.mvar,80
Deadlock Heavies,4fd75c74-5098-47ce-b6d3-4540df3f9b8e,natif,btb_drydock,,false,37,deadlock_heavies_map,map.mvar,4
Forbidden,87c03bfd-2db3-4a5b-bbf9-d5369c5894d1,natif,ctf_forbidden,,false,19,ctf_forbidden,ctf_forbidden.mvar,46
Forest,e8d56863-9ad4-4efe-9059-81270884589c,natif,forest,,false,30,forest_map,map.mvar,46
Forest - Ranked,003c828e-c2b3-43b5-b482-4005f9d4ec25,natif,forest,,false,25,forest_-_ranked_map,forest.mvar,1
Fragmentation,4f196016-0101-4844-8358-2504f7c44656,natif,btb_fragmentation,,false,47,fragmentation_map,btb_fragmentation.mvar,58
Fragmentation Heavies,0d849a52-fedb-4aea-b5a3-caee268f1f49,natif,btb_fragmentation,,false,42,fragmentation_heavies_map,btb_fragmentation.mvar,22
Highpower,33c6505d-1cfa-43c6-9fa9-311eb0502ad9,natif,105f5d84-8de1-4908-af3a-1c4f3bf9d642,,false,43,map,map.mvar,13
Highpower,c494ef7c-d203-42a9-9c0f-b3f576334501,natif,btb_highpower,,false,46,highpower_map,btb_highpower.mvar,84
Highpower Heavies,ecbb3aa1-6227-43c7-8cf8-ce62d1a988f0,natif,btb_highpower,,false,41,highpower_heavies_map,map.mvar,11
Highpower Sentry Defense,142a5e23-46de-4429-a232-aac4e6459a11,natif,btb_highpower,,false,41,highpower_sentry_defense_map,btb_highpower.mvar,1
Illusion,9e821f5e-042f-407c-97f3-de165b1cdb26,natif,ctf_illusion,,false,19,ctf_illusion,ctf_illusion.mvar,56
Launch Site,5646ce03-a86e-40d7-9cac-08d442d32606,natif,va_launchsite,,false,30,launch_site_va_launchsite,map.mvar,24
Live Fire,6c01f693-c968-4a71-b157-efc35ffcf71f,natif,,,false,24,live_fire_sgh_interlock,map.mvar,51
Live Fire - Ranked,309253f8-7a75-48ff-83e1-e7fb3db2ac47,natif,,,false,24,live_fire_-_ranked_sgh_interlock,map.mvar,2
Oasis,6aa0a116-66a6-4242-a1b3-41aa417d6dc6,natif,,,false,33,btb_exiled,btb_exiled.mvar,71
Oasis Firefight,f566aa62-afe4-4f33-b44f-7a314cb23f9b,natif,,,false,33,btb_exiled,btb_exiled.mvar,1
Oasis Heavies,7f56a242-c93a-4a19-b084-a9bf9cdd0246,natif,btb_exiled,,false,28,oasis_heavies_map,map.mvar,16
Oasis Sentry Defense,052956b4-06d1-4f78-9938-6b43c66bb223,natif,btb_exiled,,false,34,oasis_sentry_defense_map,map.mvar,1
Prism,2fdb8370-e5ac-4a1a-bdce-a08bc738b9ad,natif,sgh_crystalcaves,,false,20,prism_sgh_crystalcaves,map.mvar,49
Recharge,2b6d2baf-7645-4e16-8a80-c7006f595812,natif,sgh_blueprint,,false,24,recharge_sgh_blueprint,map.mvar,47
Recharge - Ranked,336b5174-3579-4fd8-b2f0-922e4a5f7628,natif,sgh_blueprint,,false,19,recharge_-_ranked_sgh_blueprint,map.mvar,1
Scarr,247637f8-1ed2-47de-8ff0-fd4b68f50888,natif,btb_engine,,false,23,scarr_map,btb_engine.mvar,52
Streets,9c7b0b0f-e933-4c2d-9d4a-3e4500d0de99,natif,sgh_streets,,false,19,streets_sgh_streets,map.mvar,50
Streets - Ranked,e23ea388-9bcb-4180-a0dc-fbe987751b9e,natif,sgh_streets,,false,19,streets_-_ranked_map,map.mvar,1
