carte,col,lig,niveau,composante,x,y,z,h_m,v,e,nb_visibles,d_arme_forte_m,d_arme_m,d_objectif_m,d_couvert_m,r_prox,m_prox,h_n,v_n,e_n,r_n,m_n,score
live fire,55,13,0,0,27.75,6.75,-0.62,0.000,0.186,0.361,142,42.55,42.55,44.55,12.00,0.000,0.000,0.542,0.758,0.400,0.000,0.000,0.254
live fire,56,13,0,0,28.25,6.75,-0.62,-0.000,0.187,0.389,143,42.25,42.25,44.25,12.00,0.000,0.000,0.542,0.763,0.433,0.000,0.000,0.250
live fire,57,13,0,0,28.75,6.75,-0.62,0.000,0.191,0.361,146,41.96,41.96,43.95,12.00,0.000,0.000,0.542,0.780,0.400,0.000,0.000,0.258
live fire,58,13,0,0,29.25,6.75,-0.62,0.000,0.188,0.389,144,41.66,41.66,43.66,12.00,0.000,0.000,0.542,0.769,0.433,0.000,0.000,0.251
live fire,6,14,0,0,3.25,7.25,0.00,-1.743,0.052,0.500,40,25.14,19.94,24.00,1.00,0.000,0.917,0.000,0.210,0.567,0.000,0.957,0.100
live fire,7,14,0,0,3.75,7.25,0.00,-1.616,0.065,0.500,50,24.84,19.87,23.93,1.12,0.000,0.907,0.000,0.263,0.567,0.000,0.946,0.110
live fire,8,14,0,0,4.25,7.25,1.50,0.018,0.147,0.611,112,22.40,17.49,21.55,1.58,0.000,0.868,0.548,0.597,0.700,0.000,0.906,0.315
live fire,9,14,0,0,4.75,7.25,1.50,0.139,0.161,0.694,123,22.28,17.69,21.75,1.80,0.000,0.850,0.590,0.656,0.800,0.000,0.887,0.321
live fire,10,14,0,0,5.25,7.25,1.50,0.315,0.161,0.694,123,22.16,18.02,21.68,1.80,0.000,0.850,0.651,0.656,0.800,0.000,0.887,0.339
live fire,11,14,0,0,5.75,7.25,1.92,0.892,0.168,0.722,128,22.12,17.98,21.63,1.99,0.000,0.834,0.850,0.683,0.833,0.000,0.871,0.397
live fire,12,14,0,0,6.25,7.25,0.00,-0.961,0.068,0.472,52,24.29,20.15,23.80,5.56,0.000,0.536,0.209,0.274,0.533,0.000,0.560,0.122
live fire,13,14,0,0,6.75,7.25,0.00,-0.910,0.099,0.639,76,24.22,20.08,23.73,1.12,0.000,0.907,0.227,0.403,0.733,0.000,0.946,0.181
live fire,14,14,0,0,7.25,7.25,0.00,-0.842,0.123,0.694,94,23.92,19.78,23.44,1.00,0.000,0.917,0.251,0.500,0.800,0.000,0.957,0.199
live fire,15,14,0,0,7.75,7.25,0.00,-0.767,0.123,0.722,94,23.81,19.67,23.32,1.62,0.000,0.865,0.277,0.500,0.833,0.000,0.903,0.193
live fire,16,14,0,0,8.25,7.25,0.00,-0.639,0.126,0.694,96,23.69,19.55,23.20,2.12,0.000,0.823,0.321,0.511,0.800,0.000,0.859,0.207
live fire,17,14,0,0,8.75,7.25,0.00,-0.548,0.126,0.722,96,23.81,19.67,23.32,2.62,0.000,0.782,0.352,0.511,0.833,0.000,0.816,0.205
live fire,19,14,0,0,9.75,7.25,0.79,0.332,0.131,0.639,100,24.43,20.29,23.94,3.87,0.000,0.677,0.656,0.532,0.733,0.000,0.707,0.299
live fire,20,14,0,0,10.25,7.25,0.84,0.435,0.130,0.639,99,24.71,20.57,24.22,3.68,0.000,0.694,0.692,0.527,0.733,0.000,0.724,0.311
live fire,21,14,0,0,10.75,7.25,0.00,-0.347,0.127,0.611,97,24.81,20.67,24.32,4.91,0.000,0.590,0.422,0.516,0.700,0.000,0.616,0.217
live fire,22,14,0,0,11.25,7.25,0.00,-0.285,0.119,0.528,91,25.10,20.96,24.62,4.44,0.000,0.630,0.443,0.484,0.600,0.000,0.657,0.238
live fire,23,14,0,0,11.75,7.25,1.38,1.173,0.137,0.528,105,25.96,21.82,25.47,5.51,0.000,0.541,0.947,0.559,0.600,0.000,0.564,0.391
live fire,24,14,0,0,12.25,7.25,1.38,1.215,0.140,0.389,107,26.30,22.16,25.81,6.01,0.000,0.499,0.962,0.570,0.433,0.000,0.521,0.416
live fire,27,14,0,0,13.75,7.25,-1.00,-1.156,0.092,0.222,70,14.29,14.29,19.90,12.00,0.286,0.000,0.142,0.371,0.233,0.301,0.000,0.142
live fire,55,14,0,0,27.75,7.25,-0.62,0.000,0.187,0.389,143,42.14,42.14,44.14,12.00,0.000,0.000,0.542,0.763,0.433,0.000,0.000,0.250
live fire,56,14,0,0,28.25,7.25,-0.62,0.000,0.187,0.389,143,41.84,41.84,43.84,12.00,0.000,0.000,0.542,0.763,0.433,0.000,0.000,0.250
live fire,57,14,0,0,28.75,7.25,-0.62,0.000,0.187,0.389,143,41.55,41.55,43.54,12.00,0.000,0.000,0.542,0.763,0.433,0.000,0.000,0.250
live fire,58,14,0,0,29.25,7.25,-0.62,0.000,0.191,0.389,146,41.25,41.25,43.25,12.00,0.000,0.000,0.542,0.780,0.433,0.000,0.000,0.253
live fire,59,14,0,0,29.75,7.25,-0.62,0.000,0.191,0.417,146,40.95,40.95,42.95,12.00,0.000,0.000,0.542,0.780,0.467,0.000,0.000,0.248
live fire,6,15,0,0,3.25,7.75,0.00,-1.921,0.043,0.500,33,24.73,19.44,23.50,0.50,0.000,0.958,0.000,0.172,0.567,0.000,1.000,0.099
live fire,7,15,0,0,3.75,7.75,0.00,-1.791,0.058,0.528,44,24.43,19.37,23.43,0.71,0.000,0.941,0.000,0.231,0.600,0.000,0.982,0.104
live fire,8,15,0,0,4.25,7.75,1.50,-0.144,0.132,0.639,101,21.99,16.99,21.05,1.58,0.000,0.868,0.492,0.538,0.733,0.000,0.906,0.281
live fire,9,15,0,0,4.75,7.75,1.50,0.008,0.156,0.722,119,21.78,17.41,21.29,1.80,0.000,0.850,0.544,0.634,0.833,0.000,0.887,0.298
live fire,10,15,0,0,5.25,7.75,1.50,0.179,0.158,0.722,121,21.66,17.52,21.18,1.80,0.000,0.850,0.604,0.645,0.833,0.000,0.887,0.318
live fire,11,15,0,0,5.75,7.75,1.88,0.748,0.168,0.750,128,21.62,17.48,21.13,1.95,0.000,0.838,0.800,0.683,0.867,0.000,0.874,0.378
live fire,12,15,0,0,6.25,7.75,0.00,-1.031,0.059,0.417,45,23.79,19.65,23.30,5.27,0.000,0.561,0.185,0.237,0.467,0.000,0.585,0.121
live fire,13,15,0,0,6.75,7.75,0.00,-0.972,0.085,0.639,65,23.81,19.67,23.32,4.86,0.000,0.595,0.206,0.344,0.733,0.000,0.621,0.114
live fire,14,15,0,0,7.25,7.75,0.00,-0.883,0.120,0.806,92,23.51,19.37,23.02,1.00,0.000,0.917,0.236,0.489,0.933,0.000,0.957,0.172
live fire,15,15,0,0,7.75,7.75,0.00,-0.787,0.126,0.833,96,23.31,19.17,22.82,1.50,0.000,0.875,0.270,0.511,0.967,0.000,0.913,0.175
live fire,16,15,0,0,8.25,7.75,0.00,-0.673,0.127,0.806,97,23.19,19.05,22.70,2.00,0.000,0.833,0.309,0.516,0.933,0.000,0.870,0.186
live fire,17,15,0,0,8.75,7.75,0.00,-0.588,0.124,0.833,95,23.31,19.17,22.82,2.50,0.000,0.792,0.338,0.505,0.967,0.000,0.826,0.182
live fire,19,15,0,0,9.75,7.75,0.75,0.286,0.130,0.722,99,24.00,19.86,23.51,3.75,0.000,0.687,0.640,0.527,0.833,0.000,0.717,0.280
live fire,20,15,0,0,10.25,7.75,0.75,0.340,0.131,0.694,100,24.29,20.15,23.80,4.25,0.000,0.646,0.659,0.532,0.800,0.000,0.674,0.285
live fire,21,15,0,0,10.75,7.75,0.00,-0.345,0.124,0.667,95,24.40,20.26,23.91,4.62,0.000,0.615,0.422,0.505,0.767,0.000,0.642,0.209
live fire,22,15,0,0,11.25,7.75,0.00,-0.288,0.122,0.556,93,24.69,20.55,24.20,4.86,0.000,0.595,0.442,0.495,0.633,0.000,0.621,0.230
live fire,23,15,0,0,11.75,7.75,1.84,1.635,0.212,0.694,162,25.94,21.80,25.45,5.04,0.000,0.580,1.000,0.866,0.800,0.000,0.605,0.444
live fire,24,15,0,0,12.25,7.75,1.39,1.224,0.144,0.417,110,26.01,21.88,25.53,5.90,0.000,0.508,0.965,0.586,0.467,0.000,0.530,0.416
live fire,27,15,0,0,13.75,7.75,-1.00,-1.137,0.093,0.222,71,13.79,13.79,19.40,12.00,0.311,0.000,0.149,0.376,0.233,0.327,0.000,0.150
live fire,56,15,0,0,28.25,7.75,-0.62,0.000,0.195,0.417,149,41.43,41.43,43.43,12.00,0.000,0.000,0.542,0.796,0.467,0.000,0.000,0.252
live fire,57,15,0,0,28.75,7.75,-0.62,0.000,0.196,0.389,150,41.13,41.13,43.13,12.00,0.000,0.000,0.542,0.801,0.433,0.000,0.000,0.258
live fire,58,15,0,0,29.25,7.75,-0.62,0.000,0.198,0.444,151,40.84,40.84,42.84,12.00,0.000,0.000,0.542,0.806,0.500,0.000,0.000,0.249
live fire,59,15,0,0,29.75,7.75,-0.62,0.000,0.192,0.389,147,40.54,40.54,42.54,12.00,0.000,0.000,0.542,0.785,0.433,0.000,0.000,0.254
live fire,60,15,0,0,30.25,7.75,-0.62,0.000,0.190,0.417,145,40.25,40.25,42.24,12.00,0.000,0.000,0.542,0.774,0.467,0.000,0.000,0.247
live fire,6,16,0,0,3.25,8.25,0.00,-2.070,0.016,0.250,12,24.43,19.23,23.29,6.10,0.000,0.491,0.000,0.059,0.267,0.000,0.513,0.049
live fire,7,16,0,0,3.75,8.25,0.00,-1.944,0.042,0.556,32,24.02,19.15,23.21,0.50,0.000,0.958,0.000,0.167,0.633,0.000,1.000,0.088
live fire,8,16,0,0,4.25,8.25,1.50,-0.298,0.126,0.722,96,21.58,16.71,20.77,1.58,0.000,0.868,0.439,0.511,0.833,0.000,0.906,0.245
live fire,9,16,0,0,4.75,8.25,1.50,-0.153,0.149,0.778,114,21.28,17.14,20.79,1.80,0.000,0.850,0.489,0.608,0.900,0.000,0.887,0.266
live fire,10,16,0,0,5.25,8.25,1.50,0.022,0.152,0.750,116,21.16,17.02,20.68,1.80,0.000,0.850,0.549,0.618,0.867,0.000,0.887,0.291
live fire,11,16,0,0,5.75,8.25,1.93,0.661,0.168,0.833,128,21.13,16.99,20.64,1.99,0.000,0.834,0.770,0.683,0.967,0.000,0.871,0.353
live fire,12,16,0,0,6.25,8.25,0.00,-1.144,0.051,0.361,39,23.37,19.23,22.88,5.06,0.000,0.578,0.146,0.204,0.400,0.000,0.603,0.115
live fire,13,16,0,0,6.75,8.25,0.00,-1.064,0.073,0.583,56,23.44,19.30,22.95,1.00,0.000,0.917,0.174,0.296,0.667,0.000,0.957,0.155
live fire,14,16,0,0,7.25,8.25,0.00,-0.957,0.113,0.750,86,23.10,18.96,22.61,1.00,0.000,0.917,0.211,0.457,0.867,0.000,0.957,0.168
live fire,15,16,0,0,7.75,8.25,0.00,-0.848,0.122,0.833,93,22.81,18.67,22.32,1.50,0.000,0.875,0.249,0.495,0.967,0.000,0.913,0.165
live fire,16,16,0,0,8.25,8.25,0.00,-0.701,0.123,0.806,94,22.69,18.55,22.20,2.00,0.000,0.833,0.300,0.500,0.933,0.000,0.870,0.180
live fire,17,16,0,0,8.75,8.25,0.00,-0.608,0.124,0.806,95,22.81,18.67,22.32,2.50,0.000,0.792,0.331,0.505,0.933,0.000,0.826,0.184
live fire,18,16,0,0,9.25,8.25,0.00,-0.544,0.120,0.806,92,23.10,18.96,22.61,3.00,0.000,0.750,0.354,0.489,0.933,0.000,0.783,0.181
live fire,19,16,0,0,9.75,8.25,0.00,-0.482,0.122,0.722,93,23.39,19.25,22.90,3.50,0.000,0.708,0.375,0.495,0.833,0.000,0.739,0.197
live fire,20,16,0,0,10.25,8.25,0.00,-0.404,0.122,0.694,93,23.69,19.55,23.20,4.00,0.000,0.667,0.402,0.495,0.800,0.000,0.696,0.204
live fire,21,16,0,0,10.75,8.25,0.00,-0.341,0.123,0.722,94,23.99,19.85,23.50,4.50,0.000,0.625,0.424,0.500,0.833,0.000,0.652,0.200
live fire,22,16,0,0,11.25,8.25,0.00,-0.285,0.118,0.611,90,24.32,20.19,23.84,5.00,0.000,0.583,0.443,0.478,0.700,0.000,0.609,0.215
live fire,24,16,0,0,12.25,8.25,1.39,1.217,0.145,0.444,111,25.72,21.58,25.23,5.79,0.000,0.518,0.962,0.591,0.500,0.000,0.540,0.413
live fire,27,16,0,0,13.75,8.25,-1.00,-1.122,0.093,0.222,71,13.29,13.29,18.90,11.85,0.336,0.013,0.154,0.376,0.233,0.353,0.013,0.159
live fire,57,16,0,0,28.75,8.25,-0.62,0.000,0.195,0.444,149,40.72,40.72,42.72,12.00,0.000,0.000,0.542,0.796,0.500,0.000,0.000,0.247
live fire,58,16,0,0,29.25,8.25,-0.62,0.000,0.192,0.417,147,40.43,40.43,42.43,12.00,0.000,0.000,0.542,0.785,0.467,0.000,0.000,0.249
live fire,59,16,0,0,29.75,8.25,-0.62,0.000,0.188,0.417,144,40.13,40.13,42.13,12.00,0.000,0.000,0.542,0.769,0.467,0.000,0.000,0.246
live fire,60,16,0,0,30.25,8.25,-0.62,0.000,0.188,0.389,144,39.84,39.84,41.83,12.00,0.000,0.000,0.542,0.769,0.433,0.000,0.000,0.251
live fire,61,16,0,0,30.75,8.25,-0.62,0.000,0.187,0.389,143,39.54,39.54,41.54,12.00,0.000,0.000,0.542,0.763,0.433,0.000,0.000,0.250
live fire,-2,17,0,0,-0.75,8.75,4.30,1.434,0.262,0.472,200,26.73,14.66,18.04,2.70,0.098,0.775,1.000,1.000,0.533,0.103,0.809,0.562
live fire,-1,17,0,0,-0.25,8.75,4.30,1.452,0.212,0.472,162,26.26,14.55,17.92,3.41,0.104,0.716,1.000,0.866,0.533,0.109,0.747,0.527
live fire,0,17,0,0,0.25,8.75,4.30,1.438,0.230,0.500,176,25.76,14.43,18.04,2.79,0.098,0.768,1.000,0.941,0.567,0.103,0.801,0.544
live fire,1,17,0,0,0.75,8.75,2.90,0.099,0.164,0.556,125,24.67,14.61,18.47,2.90,0.077,0.758,0.576,0.667,0.633,0.081,0.791,0.346
live fire,2,17,0,0,1.25,8.75,2.90,0.183,0.168,0.556,128,24.20,14.51,18.57,2.79,0.071,0.768,0.605,0.683,0.633,0.075,0.801,0.358
live fire,3,17,0,0,1.75,8.75,2.89,0.284,0.170,0.583,130,23.75,14.63,18.69,2.23,0.066,0.815,0.640,0.694,0.667,0.069,0.850,0.372
live fire,4,17,0,0,2.25,8.75,2.54,0.043,0.158,0.667,121,23.14,14.80,18.86,2.42,0.057,0.799,0.556,0.645,0.767,0.060,0.833,0.318
live fire,5,17,0,0,2.75,8.75,2.29,-0.066,0.127,0.694,97,22.65,15.11,19.18,2.39,0.041,0.800,0.519,0.516,0.800,0.043,0.835,0.273
live fire,6,17,0,0,3.25,8.75,1.94,-0.276,0.123,0.639,94,22.07,15.51,19.57,2.00,0.022,0.833,0.446,0.500,0.733,0.023,0.870,0.259
live fire,7,17,0,0,3.75,8.75,1.50,-0.577,0.119,0.722,91,21.58,16.07,20.13,1.58,0.000,0.868,0.342,0.484,0.833,0.000,0.906,0.210
live fire,8,17,0,0,4.25,8.75,1.50,-0.441,0.120,0.694,92,21.17,16.44,20.50,1.66,0.000,0.862,0.389,0.489,0.800,0.000,0.899,0.230
live fire,9,17,0,0,4.75,8.75,1.50,-0.277,0.127,0.778,97,20.87,16.73,20.38,1.87,0.000,0.844,0.446,0.516,0.900,0.000,0.881,0.234
live fire,10,17,0,0,5.25,8.75,1.50,-0.116,0.152,0.806,116,20.66,16.52,20.18,1.87,0.000,0.844,0.501,0.618,0.933,0.000,0.881,0.266
live fire,11,17,0,0,5.75,8.75,1.50,0.084,0.158,0.833,121,20.55,16.41,20.06,1.66,0.000,0.862,0.571,0.645,0.967,0.000,0.899,0.290
live fire,12,17,0,0,6.25,8.75,1.40,0.140,0.131,0.833,100,20.67,16.53,20.18,1.49,0.000,0.876,0.590,0.532,0.967,0.000,0.914,0.276
live fire,13,17,0,0,6.75,8.75,1.80,0.642,0.158,0.889,121,20.99,16.85,20.50,1.87,0.000,0.844,0.764,0.645,1.000,0.000,0.881,0.340
live fire,14,17,0,0,7.25,8.75,0.00,-1.042,0.067,0.444,51,22.67,18.53,22.18,1.00,0.000,0.917,0.182,0.269,0.500,0.000,0.957,0.177
live fire,15,17,0,0,7.75,8.75,0.00,-0.924,0.106,0.833,81,22.39,18.26,21.91,1.71,0.000,0.858,0.223,0.430,0.967,0.000,0.895,0.142
live fire,16,17,0,0,8.25,8.75,0.00,-0.779,0.120,0.806,92,22.19,18.05,21.70,2.12,0.000,0.823,0.272,0.489,0.933,0.000,0.859,0.168
live fire,17,17,0,0,8.75,8.75,0.00,-0.655,0.118,0.889,90,22.39,18.26,21.91,2.62,0.000,0.782,0.315,0.478,1.000,0.000,0.816,0.163
live fire,18,17,0,0,9.25,8.75,0.00,-0.581,0.120,0.833,92,22.69,18.55,22.20,3.12,0.000,0.740,0.341,0.489,0.967,0.000,0.772,0.171
live fire,19,17,0,0,9.75,8.75,0.00,-0.519,0.119,0.778,91,22.98,18.84,22.49,3.62,0.000,0.698,0.362,0.484,0.900,0.000,0.729,0.180
live fire,20,17,0,0,10.25,8.75,0.00,-0.429,0.122,0.750,93,23.28,19.14,22.79,4.12,0.000,0.657,0.393,0.495,0.867,0.000,0.685,0.190
live fire,21,17,0,0,10.75,8.75,0.00,-0.353,0.120,0.722,92,23.62,19.48,23.13,4.62,0.000,0.615,0.420,0.489,0.833,0.000,0.642,0.195
live fire,22,17,0,0,11.25,8.75,0.00,-0.286,0.120,0.611,92,24.03,19.89,23.54,5.12,0.000,0.573,0.443,0.489,0.700,0.000,0.598,0.215
live fire,23,17,0,0,11.75,8.75,1.86,1.644,0.220,0.722,168,25.36,21.23,24.88,2.94,0.000,0.755,1.000,0.898,0.833,0.000,0.788,0.473
live fire,24,17,0,0,12.25,8.75,1.39,1.203,0.144,0.444,110,25.42,21.28,24.93,5.72,0.000,0.524,0.957,0.586,0.500,0.000,0.546,0.411
live fire,27,17,0,0,13.75,8.75,-1.00,-1.124,0.093,0.278,71,12.79,12.79,18.40,11.35,0.361,0.054,0.153,0.376,0.300,0.380,0.057,0.161
live fire,58,17,0,0,29.25,8.75,-0.62,0.000,0.194,0.444,148,40.02,40.02,42.01,12.00,0.000,0.000,0.542,0.790,0.500,0.000,0.000,0.246
live fire,59,17,0,0,29.75,8.75,-0.62,0.000,0.190,0.389,145,39.72,39.72,41.72,12.00,0.000,0.000,0.542,0.774,0.433,0.000,0.000,0.252
live fire,60,17,0,0,30.25,8.75,-0.62,-0.000,0.187,0.417,143,39.42,39.42,41.42,12.00,0.000,0.000,0.542,0.763,0.467,0.000,0.000,0.245
live fire,61,17,0,0,30.75,8.75,-0.62,0.000,0.186,0.361,142,39.13,39.13,41.13,12.00,0.000,0.000,0.542,0.758,0.400,0.000,0.000,0.254
live fire,62,17,0,0,31.25,8.75,-0.62,0.000,0.178,0.389,136,38.83,38.83,40.83,12.00,0.000,0.000,0.542,0.726,0.433,0.000,0.000,0.243
live fire,-2,18,0,0,-0.75,9.25,4.29,1.282,0.260,0.472,199,26.23,14.16,17.54,2.49,0.123,0.792,0.985,1.000,0.533,0.130,0.827,0.565
live fire,-1,18,0,0,-0.25,9.25,4.29,1.288,0.216,0.528,165,26.11,14.05,17.42,2.91,0.129,0.758,0.987,0.882,0.600,0.136,0.791,0.528
live fire,0,18,0,0,0.25,9.25,4.29,1.292,0.229,0.528,175,25.64,13.93,17.54,2.29,0.123,0.809,0.988,0.935,0.600,0.130,0.845,0.546
live fire,1,18,0,0,0.75,9.25,2.89,-0.047,0.158,0.583,121,24.46,14.11,17.97,2.49,0.102,0.793,0.525,0.645,0.667,0.107,0.827,0.332
live fire,2,18,0,0,1.25,9.25,2.89,0.028,0.161,0.556,123,23.96,14.01,18.07,2.29,0.096,0.809,0.551,0.656,0.633,0.102,0.845,0.349
live fire,3,18,0,0,1.75,9.25,2.89,0.147,0.168,0.639,128,23.58,14.13,18.19,2.21,0.091,0.816,0.593,0.683,0.733,0.095,0.851,0.351
