atlas	index	fichiers	libelle	weapon_key
killfeed	71	killfeed-71.png	player_rejoined	
killfeed	72	killfeed-72.png	grappleshot	
killfeed	73	killfeed-73.png	bandit	
killfeed	74	killfeed-74.png	VIP or king kill	
killfeed	76	killfeed-76.png	sandwich	
killfeed	78	killfeed-78.png	waterfall	
killfeed	79	killfeed-79.png	quantum	
killfeed	80	killfeed-80.png	ma5k_smg	
killfeed	81	killfeed-81.png	mutilator	
killfeed	82	killfeed-82.png	Fuel Rod SPNKr	
killfeed	83	killfeed-83.png	perfect	
killfeed	84	killfeed-84.png	Carabine Vestige	hinf_vestige_carbine
killfeed	85	killfeed-85.png	falcon	
killfeed	86	killfeed-86.png	falcon_chaingun	
