carte;volumeIndex;string_id;nom_conception;en;fr;source;tronque;nom_brut;a_forme;x;y;z
academy_tutorial;93;0x57A9E8DD;yard;Yard;Cour;jeu;non;named location yard;oui;13.6;27.3;1.5
academy_tutorial;94;0xF1249B80;green bend;Green Bend;Virage vert;jeu;non;named location green bend;oui;10.2;16.2;0.4
academy_tutorial;95;0xDD28A839;landing pad;Landing Pad;Aire d'atterrissage;jeu;non;named location landing pad;oui;74.742;80.855;0.3
academy_tutorial;96;0xDD28A839;landing pad;Landing Pad;Aire d'atterrissage;jeu;non;named location landing pad;oui;54.081;79.698;2.27
academy_tutorial;97;0x95321674;lobby;Lobby;Accueil;jeu;non;named location lobby;oui;40.49;94.618;4.095
academy_tutorial;98;0xB4CAB331;ai lab;AI Lab;Labo IA;jeu;non;named location ai lab;oui;19.669;98.079;4.02
academy_tutorial;99;0xB4CAB331;ai lab;AI Lab;Labo IA;jeu;non;named location ai lab;oui;27.329;96.96;5.236
academy_tutorial;100;0xDA6F0312;locker room;Locker Room;Vestiaire;jeu;non;named location locker room;oui;4.368;93.896;0.504
academy_tutorial;101;0x898B1F86;movement course;Movement Course;Trajectoire de déplacement;jeu;non;named location movement course;oui;16.61;77.822;2.516
academy_tutorial;102;0x898B1F86;movement course;Movement Course;Trajectoire de déplacement;jeu;non;named location movement course;oui;30.358;80.463;0.509
academy_tutorial;103;0xE8963B1D;hallway;Hallway;Couloir;jeu;non;named location hallway;oui;33.035;72.761;2.7
academy_tutorial;104;0xE8963B1D;hallway;Hallway;Couloir;jeu;non;named location hallway;non;49.38;71.582;2.801
academy_tutorial;105;0x24473E5A;armory;Armory;Armurerie;jeu;non;named location armory;oui;52.82;66.253;0.503
academy_tutorial;106;0x85F88730;weapon range;Weapon Range;Polygone de tir;jeu;non;named location weapon range;oui;39.4;47.367;0.501
academy_tutorial;107;0xE8963B1D;hallway;Hallway;Couloir;jeu;non;named location hallway;oui;33.532;42.494;0.5
academy_tutorial;108;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-3.6;23.2;2.1
academy_tutorial;109;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-8.9;33.1;4.8
academy_tutorial;110;0xCECE31C8;nest;Nest;Nid;jeu;non;named location nest;oui;1.5;20.937;2.007
academy_tutorial;111;0x57A9E8DD;yard;Yard;Cour;jeu;non;named location yard;oui;2.31;22.6;0.7
academy_tutorial;112;0x95321674;lobby;Lobby;Accueil;jeu;non;named location lobby;oui;29.314;83.851;1.506
academy_tutorial;113;0x95321674;lobby;Lobby;Accueil;jeu;non;named location lobby;oui;29.314;85.751;1.506
academy_tutorial;114;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-8.0;29.2;2.3
academy_tutorial;115;0x4C2A0485;canal;Canal;Canal;jeu;non;named location canal;oui;-3.6;23.2;1.1
btb_drydock;54;0x6F5748BC;low base;Low Base;Base en contrebas;jeu;non;named location low base;oui;57.609;49.522;101.701
btb_drydock;55;0x3D5DCDD9;low yard;Low Yard;Dépôt en contrebas;jeu;non;named location low yard;oui;39.503;62.194;101.701
btb_drydock;56;0xDBA89F78;watchtower;Watchtower;Mirador;jeu;non;named location watchtower;oui;57.435;78.572;101.701
btb_drydock;57;0xBABF6E7F;low cargo;Low Cargo;Cargaison en contrebas;jeu;non;named location low cargo;oui;33.893;36.216;101.701
btb_drydock;58;0xFFD3EB55;cave pass;Cave Pass;Col de la grotte;jeu;non;named location cave pass;oui;13.657;50.379;101.701
btb_drydock;59;0x6ED8A6F7;crash site;Crash Site;Site du crash;jeu;non;named location crash site;oui;39.083;91.416;101.701
btb_drydock;60;0x9ADF8852;aa gun;AA Gun;Batterie antiaérienne;jeu;non;named location aa gun;oui;17.957;65.068;101.701
btb_drydock;61;0x4F9BDABE;cave;Cave;Grotte;jeu;non;named location cave;oui;-7.109;38.671;101.701
btb_drydock;62;0x09F5EB1A;high cargo;High Cargo;Cargaison en hauteur;jeu;non;named location high cargo;oui;12.269;104.202;101.701
btb_drydock;63;0xBE6E2483;high yard;High Yard;Dépôt en hauteur;jeu;non;named location high yard;oui;2.366;79.764;101.701
btb_drydock;64;0x0AD751E2;bridge;Bridge;Pont;jeu;non;named location bridge;oui;-15.943;63.894;101.701
btb_drydock;65;0x6AFC2041;high base;High Base;Base en hauteur;jeu;non;named location high base;oui;-17.362;88.201;101.701
btb_drydock;66;0x5E42CF85;waterfront;Waterfront;Rivage;jeu;non;named location waterfront;oui;53.589;117.603;101.701
btb_drydock;67;0x5E710142;yep this is deat;Yep, this is death...;Oui, c'est la mort...;jeu;oui;named location yep this is deat;non;36.761;87.282;73.198
btb_engine;5;0x11CC5221;east base;East Base;Base est;jeu;non;named location east base;oui;46.842;-1.395;3.7
btb_engine;6;0xFF0E8195;engine processin;Processing;Traitement;jeu;oui;named location engine processin;oui;-0.106;14.494;3.7
btb_engine;7;0xFF0E8195;engine processin;Processing;Traitement;jeu;oui;named location engine processin;oui;-0.008;29.105;1.036
btb_engine;8;0x72BCDA69;engine west junc;West Junction;Jonction ouest;jeu;oui;named location engine west junc;oui;-0.008;29.105;1.036
btb_engine;9;0x17521CD9;engine east junc;East Junction;Jonction est;jeu;oui;named location engine east junc;oui;-0.008;29.105;1.036
btb_engine;10;0xA46AB294;engine mancannon;Crosspoint;Point de croisement;jeu;oui;named location engine mancannon;oui;0.142;-16.695;3.7
btb_engine;11;0x4154FCBB;east bend;East Bend;Virage est;jeu;non;named location east bend;oui;32.342;-12.295;3.7
btb_engine;12;0xE0E445A4;west bend;West Bend;Virage ouest;jeu;non;named location west bend;oui;-20.558;-12.295;3.7
btb_engine;13;0x9284D280;center blastpit;Blast Pit;Fosse à explosion;jeu;non;named location center blastpit;oui;2.842;-4.495;-1.759
btb_engine;14;0x9284D280;center blastpit;Blast Pit;Fosse à explosion;jeu;non;named location center blastpit;oui;-1.358;-1.895;-12.479
btb_engine;15;0x208B86F0;engine center to;Power Core;Noyau de puissance;jeu;oui;named location engine center to;oui;2.842;-4.495;8.441
btb_engine;16;0xB1995834;west deadlands;West Deadlands;Terres mortes de l’Ouest;jeu;non;named location west deadlands;oui;-12.139;-12.102;2.5
btb_engine;17;0x83A1F635;east balcony;East Balcony;Balcon est;jeu;non;named location east balcony;oui;16.742;8.105;1.859
btb_engine;18;0x3A4F3739;east deadlands;East Deadlands;Terres mortes de l’Est;jeu;non;named location east deadlands;oui;12.042;9.905;3.7
btb_engine;19;0x3A4F3739;east deadlands;East Deadlands;Terres mortes de l’Est;jeu;non;named location east deadlands;oui;12.629;-8.88;3.7
btb_engine;20;0xC02A2E13;engine teleporte;Garbage Chute;Vide-ordures;jeu;oui;named location engine teleporte;oui;-0.558;5.905;-6.9
btb_engine;21;0x2F7ED9F7;engine east mcan;East Flight Deck;Poste de pilotage est;jeu;oui;named location engine east mcan;oui;12.042;9.905;3.7
btb_engine;22;0x081DC1A5;west balcony;West Balcony;Balcon ouest;jeu;non;named location west balcony;oui;-10.632;6.712;1.859
btb_engine;23;0x3DC4B9C3;engine west mcan;West Flight Deck;Poste de pilotage ouest;jeu;oui;named location engine west mcan;oui;-15.258;-9.995;3.7
btb_engine;24;0xB1995834;west deadlands;West Deadlands;Terres mortes de l’Ouest;jeu;non;named location west deadlands;oui;-10.339;10.098;2.5
btb_engine;25;0x338C7469;west base;West Base;Base ouest;jeu;non;named location west base;oui;-44.598;9.838;1.733
btb_engine;26;0xD075C1D9;engine 3sand;Triple Sandwich jr;Triple Sandwich Jr;jeu;non;named location engine 3sand;oui;10.529;-46.545;-2.065
btb_engine;27;0xD075C1D9;engine 3sand;Triple Sandwich jr;Triple Sandwich Jr;jeu;non;named location engine 3sand;non;0.005;31.905;1.342
btb_exiled;49;0x006C9BEF;exile base wall;Wall Base;Socle mural;jeu;non;named location exile base wall;oui;-11.5;-55.6;66.3
btb_exiled;50;0x006C9BEF;exile base wall;Wall Base;Socle mural;jeu;non;named location exile base wall;oui;-0.9;-55.6;66.3
btb_exiled;51;0x006C9BEF;exile base wall;Wall Base;Socle mural;jeu;non;named location exile base wall;oui;24.9;-55.6;66.3
btb_exiled;52;0xCFB43E1F;exile oasis;Oasis;Oasis;jeu;non;named location exile oasis;oui;46.9;-4.1;66.3
btb_exiled;53;0x3622EBA0;exile sandwiches;Sandwiches;Sandwichs;jeu;non;named location exile sandwiches;oui;31.199;61.553;24.299
btb_exiled;54;0xBEDC16EC;exile corner sou;South Point;Point sud;jeu;oui;named location exile corner sou;oui;56.9;59.3;66.3
btb_exiled;55;0xF69A77E5;exile base tower;Tower Base;Base de la tour;jeu;non;named location exile base tower;oui;5.8;60.3;66.3
btb_exiled;56;0xA61782C5;exile cave eleva;Cave Lift;Monte-charge de la grotte;jeu;oui;named location exile cave eleva;oui;-21.952;-0.331;24.569
btb_exiled;57;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-31.952;-33.331;24.569
btb_exiled;58;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-0.952;-18.331;24.569
btb_exiled;59;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-2.204;-15.97;25.6
btb_exiled;60;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-7.168;-15.41;25.6
btb_exiled;61;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-14.204;-4.97;25.6
btb_exiled;62;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-14.204;1.123;25.6
btb_exiled;63;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-14.204;6.983;25.6
btb_exiled;64;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-13.009;-0.302;25.875
btb_exiled;65;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-12.516;-0.302;25.875
btb_exiled;66;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-11.527;-0.302;25.875
btb_exiled;67;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-10.839;-0.302;25.875
btb_exiled;68;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-10.147;-0.302;26.309
btb_exiled;69;0xE56092FE;exile cave;Cave;Grotte;jeu;non;named location exile cave;oui;-9.158;-0.302;26.756
btb_exiled;70;0xA61782C5;exile cave eleva;Cave Lift;Monte-charge de la grotte;jeu;oui;named location exile cave eleva;oui;-21.952;-0.331;22.883
btb_exiled;71;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-18.957;0.08;22.901
btb_exiled;72;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-12.973;0.08;22.901
btb_exiled;73;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-12.081;0.08;22.901
btb_exiled;74;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-11.486;0.08;23.182
btb_exiled;75;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-10.898;0.08;23.46
btb_exiled;76;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-10.307;0.08;23.775
btb_exiled;77;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-9.715;0.08;24.051
btb_exiled;78;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-9.122;0.08;24.246
btb_exiled;79;0xB9510B50;exile cave pipeh;Pipe Hall;Salle des tuyaux;jeu;oui;named location exile cave pipeh;oui;-8.535;0.08;24.444
btb_exiled;80;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;0.37;-10.617;23.815
btb_exiled;81;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;4.703;-18.803;23.815
btb_exiled;82;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;-3.93;-6.617;23.815
btb_exiled;83;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;-3.23;5.583;23.815
btb_exiled;84;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;4.57;20.183;23.815
btb_exiled;85;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;2.07;12.783;23.815
btb_exiled;86;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;4.97;-1.217;23.815
btb_exiled;87;0xA2F8ECA3;exile research b;Facility;Local;jeu;oui;named location exile research b;oui;-7.666;-0.302;26.756
btb_exiled;88;0xF69A77E5;exile base tower;Tower Base;Base de la tour;jeu;non;named location exile base tower;oui;4.57;20.183;33.467
btb_exiled;89;0xCFB43E1F;exile oasis;Oasis;Oasis;jeu;non;named location exile oasis;oui;2.07;12.783;33.467
btb_exiled;90;0xCFB43E1F;exile oasis;Oasis;Oasis;jeu;non;named location exile oasis;oui;4.97;-1.217;33.467
btb_exiled;91;0x006C9BEF;exile base wall;Wall Base;Socle mural;jeu;non;named location exile base wall;oui;4.703;-18.803;33.467
btb_fragmentation;42;0x87F9EE0F;wreckage;Wreckage;Épave;jeu;non;named location wreckage;oui;65.577;-4.359;3.958
btb_fragmentation;43;0x09401C2C;center passage;Center Passage;Passage central;jeu;non;named location center passage;oui;50.968;-7.461;3.913
btb_fragmentation;44;0xBF495A81;hex archway;Hex Archway;Voûte hexagonale;jeu;non;named location hex archway;oui;32.788;10.125;1.991
btb_fragmentation;45;0x675AE256;cliff edge;Cliff Edge;Bord de la falaise;jeu;non;named location cliff edge;oui;9.637;37.213;2.084
btb_fragmentation;46;0xA6510037;cliff base;Cliff Base;Base de la falaise;jeu;non;named location cliff base;oui;27.991;27.08;6.504
btb_fragmentation;47;0x5CDDCB28;center hex path;Center Hex Path;Chemin hexagonal central;jeu;non;named location center hex path;oui;56.974;0.517;4.801
btb_fragmentation;48;0x87EAE2FF;hex forest;Hex Forest;Forêt hexagonale;jeu;non;named location hex forest;oui;30.555;57.405;3.098
btb_fragmentation;49;0x06A8D5BE;front cliff base;Front Cliff Base;Base avant de la falaise;jeu;non;named location front cliff base;oui;33.263;19.581;1.797
btb_fragmentation;50;0x06A8D5BE;front cliff base;Front Cliff Base;Base avant de la falaise;jeu;non;named location front cliff base;oui;37.377;26.254;-0.106
btb_fragmentation;51;0xFEA3C1CD;hex junction;Hex Junction;Jonction hexagonale;jeu;non;named location hex junction;oui;46.527;17.085;2.013
btb_fragmentation;52;0x4928CB0B;hex landing;Hex Landing;Aire d'atterrissage hexagonale;jeu;non;named location hex landing;oui;54.09;16.276;5.747
btb_fragmentation;53;0x0C39A044;hex archway road;Hex Archway Road;Route de la voûte hexagonale;jeu;non;named location hex archway road;oui;23.045;15.166;0.282
btb_fragmentation;54;0xB5279A8A;hex vault courty;Hex Vault Courtyard;Cour du coffre hexagonal;jeu;oui;named location hex vault courty;oui;24.825;-8.625;6.277
btb_fragmentation;55;0x9C390FD3;hex vault;Hex Vault;Coffre hexagonal;jeu;non;named location hex vault;oui;13.267;-7.077;6.222
btb_fragmentation;56;0x5A74156B;hex vault overlo;Hex Vault Overlook;Promontoire du coffre hexagonal;jeu;oui;named location hex vault overlo;oui;20.09;-18.989;9.962
btb_fragmentation;57;0x2C126426;cliff base inter;Cliff Base Interior;Intérieur de la base de la falaise;jeu;oui;named location cliff base inter;oui;27.779;28.281;-0.159
btb_fragmentation;58;0x05F8AE89;hex narrow passa;Hex Narrow Passage;Passage hexagonal étroit;jeu;oui;named location hex narrow passa;oui;58.443;48.47;3.286
btb_fragmentation;59;0x57C163A2;hex overlook;Hex Overlook;Promontoire hexagonal;jeu;non;named location hex overlook;oui;67.156;12.818;7.539
btb_fragmentation;60;0xFAA9026F;hex pocket;Hex Pocket;Poche hexagonale;jeu;non;named location hex pocket;oui;4.93;22.229;2.847
btb_fragmentation;61;0xB163BF93;rock vault hike;Rock Vault Hike;Promenade du coffre rocheux;jeu;non;named location rock vault hike;oui;67.899;18.244;5.413
btb_fragmentation;62;0xFAA9026F;hex pocket;Hex Pocket;Poche hexagonale;jeu;non;named location hex pocket;oui;8.412;28.697;7.074
btb_fragmentation;63;0xBF0A4EF1;cliff roadway;Cliff Roadway;Route de la falaise;jeu;non;named location cliff roadway;oui;20.798;47.483;3.533
btb_fragmentation;64;0x4865C8B4;hex power node;Hex Power Node;Nœud d'alimentation hexagonal;jeu;non;named location hex power node;oui;54.811;37.224;0.918
btb_fragmentation;65;0x06A8D5BE;front cliff base;Front Cliff Base;Base avant de la falaise;jeu;non;named location front cliff base;oui;33.263;19.581;5.297
btb_fragmentation;66;0xF3697DC7;hex switchback;Hex Switchback;Route sinueuse hexagonale;jeu;non;named location hex switchback;oui;13.559;10.231;3.749
btb_fragmentation;67;0x06A8D5BE;front cliff base;Front Cliff Base;Base avant de la falaise;jeu;non;named location front cliff base;oui;35.866;12.801;2.17
btb_fragmentation;68;0x43CC3D4F;rock forest;Rock Forest;Forêt de rochers;jeu;non;named location rock forest;oui;71.381;-72.328;3.098
btb_fragmentation;69;0x2AF36E94;center rock path;Center Rock Path;Chemin rocheux central;jeu;non;named location center rock path;oui;44.962;-15.439;4.801
btb_fragmentation;70;0x3B67FC9B;canyon base;Canyon Base;Base du canyon;jeu;non;named location canyon base;oui;73.946;-42.003;6.504
btb_fragmentation;71;0x1DA8BA74;canyon base inte;Canyon Base;Base du canyon;jeu;oui;named location canyon base inte;oui;74.157;-43.203;-0.159
btb_fragmentation;72;0x50C1E0FD;canyon wall;Canyon Wall;Paroi du canyon;jeu;non;named location canyon wall;oui;92.3;-52.135;2.084
btb_fragmentation;73;0x6A14508E;canyon roadway;Canyon Roadway;Route du canyon;jeu;non;named location canyon roadway;oui;81.139;-62.405;3.533
btb_fragmentation;74;0x3A223989;front canyon bas;Front Canyon Base;Base avant du canyon;jeu;oui;named location front canyon bas;oui;64.559;-41.177;-0.106
btb_fragmentation;75;0x3A223989;front canyon bas;Front Canyon Base;Base avant du canyon;jeu;oui;named location front canyon bas;oui;68.674;-34.504;5.297
btb_fragmentation;76;0x3A223989;front canyon bas;Front Canyon Base;Base avant du canyon;jeu;oui;named location front canyon bas;oui;68.674;-34.504;1.797
btb_fragmentation;77;0x3A223989;front canyon bas;Front Canyon Base;Base avant du canyon;jeu;oui;named location front canyon bas;oui;66.07;-27.724;2.17
btb_fragmentation;78;0xCABCABE2;rock archway;Rock Archway;Voûte rocheuse;jeu;non;named location rock archway;oui;69.148;-25.047;1.991
btb_fragmentation;79;0xE7916508;rock archway roa;Rock Archway Road;Route de la voûte rocheuse;jeu;oui;named location rock archway roa;oui;78.892;-30.088;0.282
btb_fragmentation;80;0xABBA2150;rock junction;Rock Junction;Jonction rocheuse;jeu;non;named location rock junction;oui;55.41;-32.007;2.013
btb_fragmentation;81;0x69FECC90;rock vault court;Rock Vault Courtyard;Cour du coffre rocheux;jeu;oui;named location rock vault court;oui;77.111;-6.297;6.277
btb_fragmentation;82;0x6021CEBA;rock landing;Rock Landing;Aire d'atterrissage rocheuse;jeu;non;named location rock landing;oui;47.847;-31.199;5.747
btb_fragmentation;83;0x41E33994;rock narrow pass;Rock Narrow Passage;Passage étroit et rocheux;jeu;oui;named location rock narrow pass;oui;43.493;-63.392;3.286
btb_fragmentation;84;0x1FD9B22A;rock overlook;Rock Overlook;Promontoire rocheux;jeu;non;named location rock overlook;oui;34.78;-27.741;7.539
btb_fragmentation;85;0x070A6CEE;rock pocket;Rock Pocket;Poche de rochers;jeu;non;named location rock pocket;oui;93.525;-43.62;7.074
btb_fragmentation;86;0x070A6CEE;rock pocket;Rock Pocket;Poche de rochers;jeu;non;named location rock pocket;oui;97.006;-37.152;2.847
btb_fragmentation;87;0xF9C49F0E;rock power node;Rock Power Node;Nœud d'alimentation des rochers;jeu;non;named location rock power node;oui;47.125;-52.146;0.918
btb_fragmentation;88;0x158CEE1B;rock switchback;Rock Switchback;Route sinueuse et rocheuse;jeu;non;named location rock switchback;oui;88.377;-25.154;3.749
btb_fragmentation;89;0x0FA942DB;rock vault;Rock Vault;Coffre rocheux;jeu;non;named location rock vault;oui;88.669;-7.845;6.222
btb_fragmentation;90;0xC0AFE8F9;rock vault overl;Rock Vault Overlook;Promontoire du coffre rocheux;jeu;oui;named location rock vault overl;oui;81.846;4.067;9.962
btb_fragmentation;91;0xC942D21A;hex vault hike;Hex Vault Hike;Promenade du coffre hexagonal;jeu;non;named location hex vault hike;oui;34.037;-33.166;5.413
btb_fragmentation;92;0x925DBB0C;broken ring;Broken Ring;Anneau brisé;jeu;non;named location broken ring;oui;36.359;-10.564;3.958
btb_fragmentation;93;0x3B67FC9B;canyon base;Canyon Base;Base du canyon;jeu;non;named location canyon base;oui;87.754;-49.703;0.893
btb_fragmentation;94;0xA6510037;cliff base;Cliff Base;Base de la falaise;jeu;non;named location cliff base;oui;14.578;34.758;0.904
btb_fragmentation;95;0xD52E7B8B;cliffs thinking ;Cliff's Thinking Spot;Point de réflexion de la falaise;jeu;oui;named location cliffs thinking ;oui;4.469;55.187;4.491
btb_highpower;49;0x8509F7DB;btbhp wizard roc;Wizard Rock;Rocher du magicien;jeu;oui;named location btbhp wizard roc;oui;-114.682;11.978;45.043
btb_highpower;50;0x780936AD;btbhp ridgeline;Ridgeline;Arête;jeu;non;named location btbhp ridgeline;oui;-127.929;-1.112;45.043
btb_highpower;51;0x3A39C9F3;btbhp high power;High Power;Haute tension;jeu;non;named location btbhp high power;oui;-134.421;-17.339;49.439
btb_highpower;52;0x1421DD7B;btbhp cave pit;Cave Pit;Fosse de la grotte;jeu;non;named location btbhp cave pit;oui;-146.439;-22.792;47.468
btb_highpower;53;0x1421DD7B;btbhp cave pit;Cave Pit;Fosse de la grotte;jeu;non;named location btbhp cave pit;oui;-142.907;-21.876;43.937
btb_highpower;54;0x731950D4;btbhp lakeside c;Lakeside Crossroads;Croisement du bord du lac;jeu;oui;named location btbhp lakeside c;oui;-139.531;-48.927;49.439
btb_highpower;55;0x53853465;btbhp cave;Cave;Grotte;jeu;non;named location btbhp cave;oui;-142.441;-3.607;48.318
btb_highpower;56;0xC6C72CFF;btbhp rocky pass;Rocky Pass;Col rocheux;jeu;non;named location btbhp rocky pass;oui;-104.215;-29.304;49.439
btb_highpower;57;0x01633487;btbhp lakeside;Lakeside;Bord du lac;jeu;non;named location btbhp lakeside;oui;-120.312;-52.775;43.468
btb_highpower;58;0xDCFDABCA;btbhp tower base;Tower Base;Base de la tour;jeu;non;named location btbhp tower base;oui;-73.658;4.597;44.367
