string_id;en;fr
0x640B2652;Oscar's House;Maison d'Oscar
0x64F4A4C6;Refinery Garage;Garage de la raffinerie
0x65E100C1;Low Ruins;Basses ruines
0x66309118;East Spawn;Point de réapparition est
0x663EF171;Sinkhole;Doline
0x673ED747;Tooth Pick;Cure-dent
0x675AE256;Cliff Edge;Bord de la falaise
0x67F1CDF4;Overshield Platform;Plateforme blindée
0x68222273;Meadow;Prairie
0x68553B32;Lockers;Casiers
0x68DC05DB;Hollows;Creux
0x68F92EAA;Launch Ramps;Rampes de lancement
0x69490AD2;West Basement;Sous-sol ouest
0x69ACDB79;Wing;Aile
0x69BCBBEA;Barrels;Barils
0x69FECC90;Rock Vault Courtyard;Cour du coffre rocheux
0x6A14508E;Canyon Roadway;Route du canyon
0x6A5D3262;Gold Flank;Flanc d’or
0x6AC96C7C;Cage;Cage
0x6AD17F05;Wind Tunnel;Soufflerie
0x6AFC2041;High Base;Base en hauteur
0x6C23E099;Top Catwalk;Passerelle supérieure
0x6C880E93;Blue Street;Rue bleue
0x6C88E8C7;Pyramid;Pyramide
0x6D110799;Cobalt Flank;Flanc de cobalt
0x6DE07FDC;Attic;Grenier
0x6E3E6A9F;Camo Deck;Pont camouflé
0x6E5E7B39;Blue Basement;Sous-sol bleu
0x6E628CF7;Over Look;Belvédère
0x6EAB9097;South Underpass;Passage sous-terrain sud
0x6EBD0E1C;Crossroads;Croisement
0x6EC30761;Pocket;Poche
0x6ED8A6F7;Crash Site;Site du crash
0x6F0EE882;Dried Rat Tunnel;Tunnel à rats sec
0x6F5748BC;Low Base;Base en contrebas
0x6F63BA33;One;Un
0x6F950840;East Window;Fenêtre est
0x6F9B20D4;Overshield Nerd;Crack blindé
0x705F1586;Delta;Delta
0x7098A0B0;Rock Center Road;Route centrale rocheuse
0x70A11EBA;Dried Courtyard;Cour sèche
0x714590DB;West Tree House;Cabane ouest
0x714C148B;West Elbow;Coude ouest
0x715A3D68;Center Complex;Complexe du centre
0x7210E244;Icicles;Glaçons
0x7297603B;Two;Deux
0x72BCDA69;West Junction;Jonction ouest
0x72C55D18;Cobra Base;Base Cobra
0x72FE6C83;Grand Blamites;Blamites sublimes
0x7300C18E;Red Tower;Tour rouge
0x731950D4;Lakeside Crossroads;Croisement du bord du lac
0x74153538;Overshield Vent;Conduit blindé
0x746087B6;No Man's Land;No man's land
0x75149706;Subway;Métro
0x75F9173F;South Outside;Extérieur sud
0x763DA4AF;Cobalt Short Cut;Raccourci de cobalt
0x763EB6FD;Radar Pass;Col du radar
0x76523863;South Bunker;Bunker sud
0x77032DAB;Whirlpool Dam;Siphon de barrage
0x7710E402;Cat;Chat
0x77302C96;Drill;Foreuse
0x77309927;Overgrown Attic;Grenier luxuriant
0x775FB9E3;Sneaky Path;Coupe-gorge
0x77B68A81;Security;Salle de surveillance
0x77E94A2A;Green Base;Base verte
0x77EDA78F;Garden;Jardin
0x780936AD;Ridgeline;Arête
0x7872377A;Yellow Basement;Sous-sol jaune
0x787558D5;Yellow Tower;Tour jaune
0x79114C5C;House;Maison
0x7934FDD3;Center Pit;Fosse centrale
0x795E14FE;Heaven;Ciel
0x7A1577A5;Dried Base;Base sèche
0x7A1ABAED;Nook;Sentier
0x7AAF373E;Overgrown Nest;Nid luxuriant
0x7C0E35D1;Rock;Rocher
0x7C146C98;Room;Chambre
0x7C3E5FCB;West Track;Piste ouest
0x7C4D6810;West Catwalk;Passerelle ouest
0x7C5E53F6;Camo Junction;Jonction camouflée
0x7D66F352;East Elbow;Coude est
0x7E3181F5;Red Sneaky;Coupe-gorge rouge
0x7E4384A5;Dried Back Base;Base arrière sèche
0x7E72F918;Overgrown Ramp;Rampe luxuriante
0x7EE20AFA;Arc Street Hallway;Couloir rue courbée
0x7F1EC949;Blue Tunnel;Tunnel bleu
0x7F8881F4;Alpha;Alpha
0x7FA14D6E;Big Rock;Gros rocher
0x7FAA3EAC;Cobalt;Cobalt
0x7FCFB093;Tunnel;Tunnel
0x80218521;Red Base;Base rouge
0x80406115;Frigate Base;Base de la frégate
0x80652353;Overshield Long Bridge;Long pont blindé
0x806A5412;Elevator Tunnel;Tunnel ascenseur
0x80A3BCE2;Last Stand;Dernier bastion
0x81FA4C06;Porch;Porche
0x826B70DF;Overgrown Mohawk;Mohawk luxuriant
0x826C620A;Lava;Lave
0x827480AD;Middle Bridge;Pont central
0x830FFA22;Gravity Lift;Ascenseur gravitationnel
0x832DBB57;Back Tunnel;Tunnel arrière
0x8335A6EA;Elbow;Coude
0x8348F5D6;Plaza;Plaza
0x83A1F635;East Balcony;Balcon est
0x83D91929;Main Street Alley;Allée de la grande rue
0x83DB7513;Operations;Opérations
0x8455E590;Back Road;Route secondaire
0x8509F7DB;Wizard Rock;Rocher du magicien
0x85BA3BC6;Bottom Base;Base du bas
0x85D23E7A;Eagle Window;Fenêtre Eagle
0x85F88730;Weapon Range;Polygone de tir
0x86D21E3E;Big River;Grande rivière
0x8723743E;Catwalk;Passerelle
0x87BD0EC3;Overgrown Back Ledge;Arrière-corniche luxuriante
0x87C43D3D;Bridge Falls;Cascade du pont
0x87EAE2FF;Hex Forest;Forêt hexagonale
0x87F9EE0F;Wreckage;Épave
0x885AA3D0;Courtyard;Grande cour
0x898B1F86;Movement Course;Trajectoire de déplacement
0x89C194ED;Palm Tree;Palmier
0x89C47537;Plaza Stairs;Escaliers de la place
0x8A0E8C10;East Courtyard;Grande cour est
0x8AB92BF6;Dried Big Door;Grande porte sèche
0x8B22ED4F;West Window;Fenêtre ouest
0x8BA7EF37;Dried Diving Board;Plongeoir sec
0x8BCF6A60;Skinny;Goulet
0x8C08900D;Pumping Station;Station de pompage
0x8C6321E8;Planters;Serre
0x8CC56DD2;Posters;Affiches
0x8CDF1B0E;Camo Closet;Recoin camouflé
0x8CDF30D5;Cobra Street;Rue Cobra
0x8CE258BB;Overhang;Avancée
0x8CF023F4;East Yard;Cour est
0x8D96091B;Stumps;Souches
0x8DD9CDBF;Generator Tunnel;Tunnel du générateur
0x8E5E0D31;Northwest Rocks;Rochers nord-ouest
0x8EC32070;Shipping;Aire de transbordement
0x8FABCAB8;Dried Hut;Cabane sèche
0x904EF102;Green Window;Fenêtre verte
0x90681E69;West Sneaky;Coupe-gorge ouest
0x90A108F7;Overgrown Long Hall;Longère luxuriante
0x90B5BB6E;Southwest Rocks;Rochers sud-ouest
0x90B7A761;Back Gravity lift;Ascenseur gravitationnel arrière
0x90C3C943;Hydro;Hydro
0x911A0F92;Cobra Platform;Plateforme Cobra
0x911CEFCE;Blue Refrigeration;Refroidissement bleu
0x918F4CEE;Sad Trees;Arbres mornes
0x91A9216E;North Basement;Sous-sol nord
0x9221AB24;Radar Frontage;Façade du radar
0x925DBB0C;Broken Ring;Anneau brisé
0x92737611;East Closet;Coin est
0x9284D280;Blast Pit;Fosse à explosion
0x936AD79A;Cafe;Café
0x9390C4FB;Incoming;Activation
0x93F75773;Yellow Tunnel;Tunnel jaune
0x9417AEEF;East Underpass;Passage sous-terrain est
0x94370955;Back Blamite;Blamite sèche
0x94B4F201;Gate;Portail
0x95321674;Lobby;Accueil
0x956A349E;West Underpass;Passage souterrain ouest
0x95D7A351;Pit Ridgeline;Ligne de crête de la fosse
0x96A4A8F6;Road;Route
0x9718DB00;Generator;Générateur
0x975F7311;Dried Back Ledge;Arrière-corniche sèche
0x979F39E1;Grad Board;Tableau grad
0x985956E8;Arc Street Bend;Virage rue courbée
0x98A8F643;North Yard;Cour nord
0x98BFD031;Yellow Refrigeration;Refroidissement jaune
0x98C937C6;Depot;Dépôt
0x9943FE60;West Sign;Panneau ouest
0x99520652;Dome;Dôme
0x999E1D9B;West Cave;Grotte ouest
0x9A0A5936;Dried Flank;Flanc sec
0x9A203BF3;Overshield Maintenance;Maintenance blindée
0x9A7FA40D;Dried Mohawk;Crête sèche
0x9A98DCB2;Stump;Souche
0x9ADF8852;AA Gun;Batterie antiaérienne
0x9B11C6EA;Ledge;Corniche
0x9C390FD3;Hex Vault;Coffre hexagonal
0x9C4BA91B;Eagle Courtyard;Grande cour Eagle
0x9C825B6D;West Edge;Côté ouest
0x9CDBA8DE;Catwalk;Passerelle
0x9D161DCB;Control Room;Salle de contrôle
0x9D899AEB;Drill Platform;Plateforme de forage
0x9E0CCD46;South Spawn;Point de réapparition sud
0x9E27DD72;North Sneaky;Coupe-gorge nord
0x9E69A08A;North Outside;Extérieur nord
0x9EA9EFC0;North Ramp;Rampe nord
0x9F56E032;Hall;Hall
0x9FD14688;Cart Hallway;Couloir à chariot
0xA02D2A84;Red Ramp;Rampe rouge
0xA04DBA78;T Junction;Jonction T
0xA0C025BC;Bottom Nest;Nid du bas
0xA1963DE7;Dried Sneaky;Coupe-gorge sec
0xA1CD43CB;Overshield Pocket;Poche blindée
0xA1F6179A;Dried Patio;Patio sec
0xA264EE9F;Gold Jungle;Jungle d'or
0xA2942B0A;Yellow Platform;Plateforme jaune
0xA29816EF;Dried Street;Rue sèche
0xA2F8ECA3;Facility;Local
0xA3463240;Cathedral;Cathédrale
0xA3F3D842;Eagle Basement;Sous-sol Eagle
0xA4176B11;Yellow Sneaky;Coupe-gorge jaune
0xA46AB294;Crosspoint;Point de croisement
0xA4A98A70;South Balcony;Balcon sud
0xA54909B9;Canal Stairs;Escaliers du canal
0xA5D3C246;Truck;Camion
0xA5E65DAE;Frigate Blast Deck;Pont d'explosion de la frégate
0xA61782C5;Cave Lift;Monte-charge de la grotte
0xA6510037;Cliff Base;Base de la falaise
0xA6A5F925;Blast House;Maison à explosion
0xA6EF850C;East Tunnel;Tunnel est
0xA71AEB01;Top Nest;Nid du haut
0xA745EDA2;Gallery;Galerie
0xA8048D7C;Stargate;Porte des étoiles
0xA81505C8;Shrine;Lieu saint
0xA86D5AC7;North Spawn;Point de réapparition nord
0xA87C0135;Subway Nest;Planque du métro
0xA8ACA0C0;East Catwalk;Passerelle est
0xA8B6F96B;Old Town;Vieille ville
0xA8F50152;Cliffside;Versant de falaise
0xA92ECB44;Red Window;Fenêtre rouge
0xA9BF3270;Pillar;Pilier
0xA9D02179;Overgrown Big Door;Grande porte luxuriante
0xA9E7B33C;South Basement;Sous-sol sud
0xAA1E31FA;Hole;Trou
0xAA64B439;Green Ramp;Rampe verte
0xAA6C8944;House Elbow;Coude de maison
0xAAB1E1A1;Archway;Voûte
0xAB50B931;Underpass;Passage souterrain
0xAB84953C;Overlook;Promontoire
0xABA81E9B;Center Bridge;Pont central
0xABBA2150;Rock Junction;Jonction rocheuse
0xAD057EC5;Cobra Courtyard;Grande cour Cobra
0xAD65575C;Old Town Stairs;Escaliers de vieille ville
0xAD83C6C9;Red Hallway;Couloir rouge
0xAD96BDA9;Stalls;Stands
0xADE28BA7;Swing;Balançoire
0xAE6887BA;Overshield Junction;Intersection blindée
0xAEBC9D42;Track Tunnel;Tunnel à voie
0xAED5C45C;Blue Window;Fenêtre bleue
0xAF047E83;Closed Hall;Salle fermée
0xAF26A040;Overshield Street;Rue blindée
0xB0252F36;Bay Doors;Portes du compartiment
0xB070EFCA;We have been trying to reach you about your warthog's Extended Warranty;Nous cherché à vous contacter au sujet de l'extension de garantie de votre warthog
0xB15407D9;Overgrown Pillars;Piliers luxuriants
0xB163BF93;Rock Vault Hike;Promenade du coffre rocheux
0xB1995834;West Deadlands;Terres mortes de l’Ouest
0xB1CEB9D7;Trench;Tranchée
0xB2217CCE;Control;Contrôle
0xB2775A39;West Tunnel;Tunnel ouest
0xB2FE386B;West Market Bridge;Pont du marché ouest
0xB3137162;West Closet;Coin ouest
0xB355B7FD;East Bridge;Pont est
0xB36C81A3;Cobra Bend;Virage Cobra
0xB3B76089;Junction;Jonction
0xB3CD2B97;Dog;Chien
0xB40B5870;Camo Attic;Grenier camouflé
0xB4CAB331;AI Lab;Labo IA
0xB5279A8A;Hex Vault Courtyard;Cour du coffre hexagonal
0xB5D6DDDF;West Street;Rue ouest
0xB5D92C37;Blast Pit;Fosse à explosion
0xB5DF1199;Green Sneaky;Coupe-gorge vert
0xB6C10F1F;South Sneaky;Coupe-gorge sud
0xB7D4604C;Subway Stairs;Escaliers du métro
0xB95027C1;Overgrown Back Base;Base arrière luxuriante
0xB9510B50;Pipe Hall;Salle des tuyaux
0xB985A6C6;Sad Trombone;Trombone triste
0xB98ACBBF;High Ruins;Hautes ruines
0xBA33339A;Base;Base
0xBA4D6F22;Overgrown Patio;Patio luxuriant
0xBABF6E7F;Low Cargo;Cargaison en contrebas
0xBC0FAA35;Engine;Machinerie
0xBC56AAEB;Altar;Autel
0xBC989C20;Camo Nerd;Nerd camouflé
0xBCF295F6;Elevator 1;Ascenseur 1
0xBD329923;Overgrown Stage;Scène luxuriante
0xBE1609FF;Free Money;Argent gratuit
0xBE6E2483;High Yard;Dépôt en hauteur
0xBE7F08BB;Cobra Tunnel;Tunnel Cobra
0xBEADAE22;Outpost;Avant-poste
0xBEC4CC1E;North Underpass;Passage souterrain nord
0xBEDC16EC;South Point;Point sud
0xBEFB5A6C;Door;Porte
0xBF05AC7E;Green Courtyard;Grande cour verte
0xBF0A4EF1;Cliff Roadway;Route de la falaise
0xBF147595;East Basement;Sous-sol est
0xBF495A81;Hex Archway;Voûte hexagonale
0xC0064772;Maintenance Bay;Baie de maintenance
0xC02A2E13;Garbage Chute;Vide-ordures
0xC0426E20;Batteries;Accumulateurs
0xC0736875;Big Rock Junction;Carrefour du gros rocher
0xC093DEB8;Control Room Stairs;Escalier de la salle de contrôle
