pair_name_exemple,prefix,mode_category_go,game_variant_name,mode_canonical,experience_playlist,lusr_bucket_propose,notes
BTB Heavies:Slayer on Highpower,BTB Heavies,BTB,Slayer,slayer,btb,btb,Vehicules lourds
BTB Heavies:CTF on Highpower,BTB Heavies,BTB,CTF,ctf,btb,btb,Vehicules lourds
Fiesta:Slayer on Bazaar,Fiesta,Fiesta,Fiesta Slayer,fiesta,social,fun,NormalizeModeLabel extrait 'Slayer' (pas identity prefix) - bucket fun via mode_category
Fiesta:CTF on Recharge,Fiesta,Fiesta,Fiesta CTF,ctf,social,fun,
Castle Wars,Castle Wars,Fiesta,Castle Wars,unknown,social,fun,Sans separateur - retourne tel quel
Super Fiesta:Slayer on Catalyst,Super Fiesta,SuperFiesta,Super Fiesta Slayer,fiesta,social,fun,NormalizeModeLabel → 'Super Fiesta' (identity prefix)
Husky Raid:Slayer on Pharaoh,Husky Raid,HuskyRaid,Husky Raid Slayer,unknown,social,fun,NormalizeModeLabel → 'Husky Raid' (identity prefix)
Husky Raid:CTF on Pharaoh,Husky Raid,HuskyRaid,Husky Raid CTF,ctf,social,fun,
Super Husky Raid:CTF on Pharaoh,Super Husky Raid,HuskyRaid,Super Husky Raid CTF,ctf,social,fun,NormalizeModeLabel → 'Super Husky Raid' (identity prefix)
Action Sack:*,Action Sack,Other,Action Sack,unknown,action_sack,fun,ABSENT modePrefixToCategory - detecte via experience_playlist=action_sack
Infection:*,Infection,Other,Infection,unknown,social,fun,ABSENT modePrefixToCategory - a ajouter ou detecter via pair_name keyword
Griffball:*,Griffball,Other,Griffball,unknown,social,fun,ABSENT modePrefixToCategory - idem
Rumble Pit:*,Rumble Pit,Other,Rumble Pit,unknown,social,assassin_slayer,ABSENT modePrefixToCategory - format pair_name inconnu
Rocket Hog Race:*,Rocket Hog Race,Other,Rocket Hog Race,unknown,btb,fun,ABSENT modePrefixToCategory - BTB event mode
Event:*,Event,Other,Event mode,unknown,limited_time,fun,Evenements temporaires
Ranked:Slayer on Aquarius,Ranked,Ranked,Slayer,slayer,ranked,exclu_csr,Gere par CSR
Ranked:CTF on Recharge,Ranked,Ranked,CTF,ctf,ranked,exclu_csr,
Ranked:Strongholds on Streets,Ranked,Ranked,Strongholds,strongholds,ranked,exclu_csr,
Ranked:Oddball on Aquarius,Ranked,Ranked,Oddball,oddball,ranked,exclu_csr,
Firefight:King of the Hill on Argyle,Firefight,Firefight,Firefight KOTH,firefight_kotr,firefight,exclu,PvE
Firefight:Slayer on *,Firefight,Firefight,Firefight Slayer,slayer,firefight,exclu,PvE
Gruntpocalypse:Slayer on *,Gruntpocalypse,Firefight,Gruntpocalypse,slayer,firefight,exclu,PvE
