ti	archetype	i	component	level	status	deser_addr	grammar	bits_typ	code_source	doc_field	product_use	meaning_fr	exploitable_fr	confidence	notes
1	inconnu	12	game-engine-campaign-timer-component	1	porte	FUN_1407ee764			traverse.go:885		aucun	inconnu		aucune	
1	inconnu	13	game-engine-disabled-kill-volume-flags-component	1	non_porte						aucun	inconnu		aucune	
1	inconnu	14	GameEngineComposerLetterboxComponent	1	non_porte						aucun	inconnu		aucune	
2	game-engine-campaign	0	game-engine-team-mapping-component	0	porte	FUN_140f58200	R(16) + R(16) + R(5)	37	traverse.go:891		aucun	l'horloge de campagne	campagne	haute	niveau_jeu=1
2	game-engine-campaign	1	game-engine-shared-team-lives-component	1	porte	FUN_142f03600			traverse.go:353		aucun	inconnu		aucune	
2	game-engine-campaign	2	game-engine-current-state-component	1	porte	FUN_14116d1d0			traverse.go:481		aucun	inconnu		aucune	
2	game-engine-campaign	3	game-engine-game-finished-component	1	porte	FUN_142f035e0	R(1)	1	traverse.go:484		aucun	LA PARTIE EST TERMINEE	Le bit qui dit que le match est fini : bornerait proprement la fin du rejeu, aujourd'hui calee sur le dernier paquet.	haute	
2	game-engine-campaign	4	game-engine-current-round-component	1	porte	FUN_14116fc70			traverse.go:739		aucun	inconnu		aucune	
2	game-engine-campaign	5	game-engine-round-timer-component	1	porte	FUN_1407ee790			traverse.go:629		aucun	inconnu		aucune	
2	game-engine-campaign	6	game-engine-sudden-death-time-left-component	1	porte	FUN_14116d3a4			traverse.go:633		aucun	inconnu		aucune	
2	game-engine-campaign	7	game-engine-grace-period-time-left-component	1	porte	FUN_141165d24			traverse.go:722		aucun	inconnu		aucune	
2	game-engine-campaign	8	game-engine-round-condition-flags-component	1	porte	FUN_141132dc0			traverse.go:727		aucun	inconnu		aucune	
2	game-engine-campaign	9	game-engine-screen-sequence-component	1	porte	FUN_14101d118			traverse.go:638		aucun	inconnu		aucune	
2	game-engine-campaign	10	game-engine-alliance-component	1	porte	FUN_140a24968			traverse.go:730		aucun	inconnu		aucune	
2	game-engine-campaign	11	game-engine-soft-ceilings-component	1	non_porte						aucun	inconnu		aucune	
2	game-engine-campaign	12	game-engine-campaign-timer-component	1	porte	FUN_1407ee764			traverse.go:885		aucun	inconnu		aucune	
2	game-engine-campaign	13	game-engine-disabled-kill-volume-flags-component	1	non_porte						aucun	inconnu		aucune	
2	game-engine-campaign	14	GameEngineComposerLetterboxComponent	1	non_porte						aucun	inconnu		aucune	niveau_jeu=2
2	game-engine-campaign	15	managed-engine-timers-component	2	non_porte						aucun	inconnu		aucune	niveau_jeu=1
2	game-engine-campaign	16	scenario-intro-component	1	non_porte						aucun	inconnu		aucune	niveau_jeu=4
2	game-engine-campaign	17	matchflow-isplaying-flags-component	4	non_porte						aucun	inconnu		aucune	
3	inconnu	0	low-frequency	0	non_porte						aucun	inconnu		aucune	
3	inconnu	1	high-frequency	0	porte	FUN_14076d034			traverse.go:402		aucun	inconnu		aucune	
4	high-frequency	0	high-frequency	0	porte	FUN_14076d034	FRAME : R(8) ; KEYFRAME : 26 bits (distinct)	8 (frame)	traverse.go:402		aucun	un champ rafraichi a chaque image	inconnu	haute	
5	player (le JOUEUR, pas son corps)	0	player-waypoint-component	0	porte	FUN_1410665dc	R(3)	3	traverse.go:426		aucun	le point de navigation affiche au joueur	Vers ou le jeu dirigeait le joueur : un proxy d'intention d'objectif.	haute	niveau_jeu=1
5	player (le JOUEUR, pas son corps)	1	player-respawn-timer-component	1	porte	FUN_140f3fb8c	R(1) + R(10) + R(10) = 21 bits	21	traverse.go:429		aucun — la valeur est capturee par la couche de capture mais AUCUN champ du document ne la porte	le COMPTE A REBOURS de reapparition	Le temps mort de chaque joueur, a la seconde : combien de secondes une equipe a passe morte, et donc le vrai cout d'un echange. La valeur SORT deja du decodeur et personne ne la lit.	haute	
5	player (le JOUEUR, pas son corps)	2	player-soft-kill-timer-component	1	porte	FUN_140d580a8	R(5) + R(5) + R(5)	15	traverse.go:433		aucun	le compte a rebours HORS-LIMITES (« revenez sur le terrain »)	Dater les sorties de zone : un joueur qui campe hors limites, et les morts par hors-limites (aujourd'hui classees en morts neutres sans cause precise).	haute	
5	player (le JOUEUR, pas son corps)	3	player-target-tracking-detection-component	1	porte	FUN_142f044f0	R(1) + R(1)	2	traverse.go:438		aucun	la detection de cible (le joueur est-il repere)	Deux bits qui disent si le joueur est marque/repere : croisable avec le capteur de menaces.	moyenne	
5	player (le JOUEUR, pas son corps)	4	player-unsafe-respawn-timer-component	1	porte	FUN_142f0452c	R(10)	10	traverse.go:442		aucun	minuteur de reapparition en zone dangereuse	inconnu	moyenne	
5	player (le JOUEUR, pas son corps)	5	player-respawn-safety-component	1	porte	FUN_1410e3f30	R(5)	5	traverse.go:445		aucun	la securite du point de reapparition	inconnu	moyenne	
5	player (le JOUEUR, pas son corps)	6	player-desired-respawn-player-component	1	porte	FUN_1410f7330	R(16)	16	traverse.go:448		aucun	sur QUEL COEQUIPIER le joueur veut reapparaitre	Le choix de reapparition : une donnee tactique d'equipe jamais exploitee.	moyenne	
5	player (le JOUEUR, pas son corps)	7	player-desired-respawn-seat-component	1	partiel	FUN_142f03f34	R(1) [si 1 : largeur RUNTIME -> desync propre] + R(7)	8+	traverse.go:551		aucun	sur quel SIEGE de vehicule le joueur veut reapparaitre	inconnu	haute	
5	player (le JOUEUR, pas son corps)	8	player-early-respawn-requested-component	1	porte	FUN_142f04034	R(1)	1	traverse.go:493		aucun	le joueur a demande a reapparaitre plus tot	inconnu	haute	
5	player (le JOUEUR, pas son corps)	9	player-engine-loadout-index-component	1	porte	FUN_142f04054	R(3)	3	traverse.go:496		aucun	l'index du chargement choisi	inconnu	haute	
5	player (le JOUEUR, pas son corps)	10	player-primary-respawn-object-component	1	partiel	FUN_142f043e8	R(1) [si 1 : largeur RUNTIME -> desync propre]	1+	traverse.go:643		aucun	l'objet de reapparition principal (balise, base)	inconnu	haute	
5	player (le JOUEUR, pas son corps)	11	player-engine-loadout-component	1	porte	FUN_141044428	8 x R(8) = 64	64	traverse.go:575		aucun	le CHARGEMENT complet du joueur	8 octets de chargement, jamais lus : c'est peut-etre l'equipement de depart en clair, la ou le rejeu le devine aujourd'hui par i48.	haute	
5	player (le JOUEUR, pas son corps)	12	player-desired-respawn-location-component	1	porte	FUN_14076dc04	R(1) [si 1 : vec3 quantifie (6+niveau) + R(19)]	1-40	traverse.go:648		aucun	l'endroit ou le joueur veut reapparaitre	Une POSITION lisible, avec la seule quantification du registre (pas de bornes de carte a resoudre) : le choix de reapparition, sur la carte.	haute	
5	player (le JOUEUR, pas son corps)	13	player-fade-properties-component	1	porte	FUN_141020bac	6 x R(12) = 72	72	traverse.go:580		aucun	les proprietes de fondu de l'ecran	Habillage d'interface : sans valeur produit.	haute	
5	player (le JOUEUR, pas son corps)	14	player-lives-remaining-component	1	porte	FUN_141055734	R(7)	7	traverse.go:585		aucun	le nombre de VIES restantes (modes a vies limitees)	Les modes a elimination (Attrition) : le compte de vies par equipe, image par image. Decode, jete.	haute	
5	player (le JOUEUR, pas son corps)	15	player-last-betrayer-component	1	porte	FUN_142f04158	R(6)	6	traverse.go:655		aucun	qui a TRAHI le joueur en dernier (tir ami fatal)	Les trahisons nommees, sur 6 bits. Le rejeu ne distingue pas aujourd'hui un tir ami d'un kill adverse dans certaines lignes.	haute	
5	player (le JOUEUR, pas son corps)	16	player-vehicle-entrance-ban-component	1	porte	FUN_142f04610	R(1)	1	traverse.go:658		aucun	interdiction d'entrer dans un vehicule	inconnu	haute	
5	player (le JOUEUR, pas son corps)	17	player-control-aiming-component	1	porte	FUN_142f03ea4	R(19) direction cubemap	19	traverse.go:661		aucun	la direction de visee cate contrale joueur	Une SECONDE source de visee, portee par l'entite JOUEUR et non par le corps : elle pourrait combler les 56 % de points sans cap (Point.H absent).	haute	
5	player (le JOUEUR, pas son corps)	18	player-active-in-game-component	1	porte	FUN_1411615d8	R(1)	1	traverse.go:664		aucun	le joueur est ACTIF dans la partie	Les ABANDONS et les arrivees en cours de partie, dates au bit : aujourd'hui deduits de l'absence de trajectoire.	haute	
5	player (le JOUEUR, pas son corps)	19	player-pending-join-in-progress-spawn-component	1	porte	FUN_1411615b8	R(1)	1	traverse.go:667		aucun	le joueur rejoint la partie en cours	idem i18	haute	
5	player (le JOUEUR, pas son corps)	20	player-malleable-properties-simulation-component	1	porte	FUN_1407f0518	3 x R(1) + 6 x (R(1) [+ R(12)]) + 9 x R(1)	18-90	traverse.go:670		aucun	les modificateurs appliques au joueur	Six valeurs de 12 bits sous porte : c'est la forme d'une table de modificateurs (vitesse, degats, sauts). Jamais mesuree.	haute	
5	player (le JOUEUR, pas son corps)	21	player-representation-component	1	porte	FUN_14111ec64	R(32)	32	traverse.go:683		aucun	la representation du joueur (son apparence / son modele)	inconnu	haute	
5	player (le JOUEUR, pas son corps)	22	player-aim-assist-component	1	non_porte		inconnue	inconnu			aucun	inconnu	inconnu	moyenne	
5	player (le JOUEUR, pas son corps)	23	player-power-frame-points-component	1	porte	FUN_142f04240	R(16) + R(16)	32	traverse.go:686		aucun	des points de « power frame » (economie de mode)	inconnu	haute	
5	player (le JOUEUR, pas son corps)	24	player-desired-frame-configuration-component	1	non_porte		inconnue	inconnu			aucun	inconnu	inconnu	moyenne	
5	player (le JOUEUR, pas son corps)	25	player-supply-lines-currency-simulation-component	1	porte	FUN_142f04408	R(16)	16	traverse.go:690		aucun	la monnaie de « lignes de ravitaillement »	Mode campagne / PvE : sans objet en multijoueur competitif.	haute	
5	player (le JOUEUR, pas son corps)	26	player-allowed-to-quit-component	1	porte	FUN_142f04138	R(1)	1	traverse.go:693		aucun	le joueur a le droit de quitter	inconnu	haute	
6	statborg (les compteurs de score)	0	statborg-current-round-value-stat-component	0	porte	FUN_140c18794	FUN_140c18794 ; getter natif : value = *(int32*)(world + slot*0x88 + equipe*0x1DF0 + 0x38 + manche*4), affiche = brut x echelle	inconnu	traverse.go:301		aucun	LA VALEUR DE STAT DE LA MANCHE EN COURS — le score vivant, par equipe	LA COURBE DE SCORE DES DEUX EQUIPES, image par image, pour TOUS les modes. Aujourd'hui le score dans le temps n'existe qu'en CTF (par les captures) et de facon experimentale non branchee en Strongholds/KOTH. Le composant est porte, sa valeur est jetee, et les deux statlines existent.	haute	niveau_jeu=1
6	statborg (les compteurs de score)	1	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	2	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	3	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	4	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	5	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	6	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	7	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	8	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	9	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	10	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	11	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	12	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	13	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	14	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	15	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	16	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	17	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	18	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	19	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	20	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	21	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	22	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	23	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	24	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	25	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	26	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	27	statborg-current-round-value-stat-component	1	porte	FUN_140c18794			traverse.go:301		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	28	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50	FUN_140c...	inconnu	traverse.go:347		aucun	les valeurs FIGEES des manches terminees	Le score final par manche, lu dans le film : un controle croise gratuit de l'API.	haute	
6	statborg (les compteurs de score)	29	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	30	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	31	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	32	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	33	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	34	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	35	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	36	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	37	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	38	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	39	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	40	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	41	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	42	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	43	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	44	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	45	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	46	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	47	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	48	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	49	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	50	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	51	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	52	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	53	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	54	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	55	statborg-finalized-rounds-values-stat-component	1	porte	FUN_142ed3c50			traverse.go:347		aucun	inconnu		aucune	
6	statborg (les compteurs de score)	56	statborg-round-outcomes-component	1	porte	FUN_142ed71a4	32 x R(2)	64	traverse.go:768		aucun	l'ISSUE de chaque manche (gagnee, perdue, nulle)	32 issues de manche sur 2 bits chacune : directement lisible, jamais lu.	haute	
6	statborg (les compteurs de score)	57	statborg-entry-index-and-type-component	1	porte	FUN_1410be614	R(32) + R(8)	40	traverse.go:456		aucun	quel COMPTEUR est decrit (son index et son type)	C'est la CLE de lecture d'i0 : sans elle on ne sait pas quel compteur on lit. Portee, jetee — c'est exactement le « cadrage » qui manque pour brancher le parser statborg.	haute	
7	forge-sim-generic-*	0	forge-sim-generic-component	0	non_porte						aucun	inconnu		aucune	niveau_jeu=1
7	forge-sim-generic-*	1	forge-sim-generic-component	1	non_porte						aucun	inconnu		aucune	
7	forge-sim-generic-*	2	forge-sim-generic-component	1	non_porte						aucun	inconnu		aucune	
