=== RUN   TestBombePortageGate
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 571 xuid 2533274824432629 [367257, 369141]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 571 xuid 2533274824432629 [371678, 376767]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 578 xuid 2535420196688895 [380537, 381288]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 581 xuid 2535406578258524 [385343, 422128]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 587 xuid 2535406578258524 [422128, 429118]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 587 xuid 2535406578258524 [431571, 432734] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 589 xuid 2535460750735339 [434123, 434269] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 593 xuid 2533274858283686 [435858, 440179]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 596 xuid 2535441223342887 [459582, 471629]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 597 xuid 2535406578258524 [476468, 476835]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 597 xuid 2535406578258524 [477869, 479983] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 606 xuid 2535420196688895 [485610, 486092]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 606 xuid 2535420196688895 [487728, 488178]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 606 xuid 2535420196688895 [489547, 490096]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 612 xuid 2535406578258524 [503310, 523046]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 612 xuid 2535406578258524 [525116, 531767] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 610 xuid 2533274824432629 [535325, 536576]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 621 xuid 2533274858283686 [549356, 569853] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 628 xuid 2535420196688895 [574464, 574831]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 628 xuid 2535420196688895 [577534, 578084]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 628 xuid 2535420196688895 [578869, 579970]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 628 xuid 2535420196688895 [587278, 587911]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 626 xuid 2535434638359191 [602694, 634671] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 644 xuid 2535420196688895 [638780, 639264]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 644 xuid 2535420196688895 [640683, 641182]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 636 xuid 2535406578258524 [654165, 662866] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 642 xuid 2535445743480343 [664590, 679655]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 653 xuid 2535406578258524 [690382, 705576] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 657 xuid 2535460750735339 [710436, 728854]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 664 xuid 2535441223342887 [736144, 746315] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 667 xuid 2535420196688895 [757266, 758284]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 667 xuid 2535420196688895 [759018, 759501]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 667 xuid 2535420196688895 [760470, 760903]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 667 xuid 2535420196688895 [762405, 762889]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 665 xuid 0 [767309, 782425]
    bombe_portage_gate_test.go:95: 35b75a31 : explosion  304013 ms <- poseur = detonateur 2535460750735339 (portage [290194, 308258], delai fin -> explosion -4245 ms)
    bombe_portage_gate_test.go:95: 35b75a31 : explosion  541270 ms <- poseur = detonateur 2533274824432629 (portage [535325, 536576], delai fin -> explosion 4694 ms)
    bombe_portage_gate_test.go:95: 35b75a31 : explosion  787051 ms <- portage slot 665 [767309, 782425] NON ponte (coverage.noBridge) — hors denominateur (c)
    bombe_portage_gate_test.go:78: 9f57c612 : 19 transitions, 11 periodes, 10 portages publies (10 fermes dont 3 par mort, 0 ouverts), 1 sansPont, 0 horsFenetre
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 518 xuid 0 [39616, 65475]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 524 xuid 2535470127489792 [96522, 98457]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 524 xuid 2535470127489792 [99175, 100994]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 524 xuid 2535470127489792 [101561, 102512]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 524 xuid 2535470127489792 [103079, 106767]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 539 xuid 2535470823750470 [186997, 190151] (mort)
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 554 xuid 2535470823750470 [257318, 270783]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 554 xuid 2535470823750470 [272351, 279441]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 571 xuid 2535419279251362 [311559, 335532]
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 585 xuid 2535470823750470 [366731, 388702] (mort)
    bombe_portage_gate_test.go:78:   9f57c612 : periode slot 592 xuid 2533274796620553 [406188, 421120] (mort)
    bombe_portage_gate_test.go:95: 9f57c612 : explosion   83322 ms <- portage slot 518 [39616, 65475] ; detonateur NON nomme par le statborg — hors denominateur (c)
    bombe_portage_gate_test.go:95: 9f57c612 : explosion  298489 ms <- poseur = detonateur 2535470823750470 (portage [272351, 279441], delai fin -> explosion 19048 ms)
    bombe_portage_gate_test.go:95: 9f57c612 : explosion  353160 ms <- portage slot 571 [311559, 335532] ; detonateur NON nomme par le statborg — hors denominateur (c)
    bombe_portage_gate_test.go:95: 9f57c612 : explosion  469057 ms <- poseur = detonateur 2533274796620553 (portage [406188, 421120], delai fin -> explosion 47937 ms)
    assaut_manches_research_test.go:652: pic memoire observe : 0.16 Gio (plafond souple 2 Gio)
--- PASS: TestBombePortageGate (149.93s)
PASS
ok  	levelup/go-api/internal/analysis/replay	150.361s
