film	famille	mode	carte	duree_s	schema	frames	manches	flagCarries_calque	flagFilm	flag_openings	flag_carries	flag_noBridge	zoneStates	zones_captures	zones_attributed	skullCarries	bombCarries	obj_available	obj_attached	obj_noSlot	obj_outOfWindow	oracle_lignes
f2966f08	SansObjectif	Slayer:Arena	Behemoth	617	51	6126	1	non	false	0	0	0	0			0	0	0	0	0	0	0
0797ce72	SansObjectif	Slayer:Arena Super Fiesta	Live Fire	434	51	4367	1	non	false	0	0	0	0			0	0	0	0	0	0	0
0a44c6cc	SansObjectif	Slayer:Arena Super Fiesta	Launch Site	544	51	5171	1	non	false	0	0	0	0			0	0	0	0	0	0	0
1cd3848a	SansObjectif	Slayer:Arena Super Fiesta	Behemoth	566	51	5693	1	non	false	0	0	0	0			0	0	0	0	0	0	0
30724141	SansObjectif	Slayer:Arena Super Fiesta	Live Fire	416	51	4194	1	non	false	0	0	0	0			0	0	0	0	0	0	0
3ba5a548	SansObjectif	Slayer:Arena Super Fiesta	Streets	462	51	4643	1	non	false	0	0	0	0			0	0	0	0	0	0	0
46c3f91d	SansObjectif	Slayer:Arena Super Fiesta	Catalyst	452	51	4535	1	non	false	0	0	0	0			0	0	0	0	0	0	0
5dfdc63b	SansObjectif	Slayer:Arena Super Fiesta	Forest	455	51	4407	1	non	false	0	0	0	0			0	0	0	0	0	0	0
8a485699	SansObjectif	Slayer:Arena Super Fiesta	Launch Site	704	51	6820	1	non	false	0	0	0	0			0	0	0	0	0	0	0
9e8fb31b	SansObjectif	Slayer:Arena Super Fiesta	Cliffhanger	414	51	4165	1	non	false	0	0	0	0			0	0	0	0	0	0	0
9ffce8ef	SansObjectif	Slayer:Arena Super Fiesta	Bazaar	705	51	6845	1	non	false	0	0	0	0			0	0	0	0	0	0	0
a396aa7f	SansObjectif	Slayer:Arena Super Fiesta	Streets	394	51	3964	1	non	false	0	0	0	0			0	0	0	0	0	0	0
b1f01a33	SansObjectif	Slayer:Arena Super Fiesta	Prism	522	51	5236	1	non	false	0	0	0	0			0	0	0	0	0	0	0
bf2a9f05	SansObjectif	Slayer:Arena Super Fiesta	Bazaar	722	51	6905	1	non	false	0	0	0	0			0	0	0	0	0	0	0
bfcd1175	SansObjectif	Slayer:Arena Super Fiesta	Recharge	561	51	5619	1	non	false	0	0	0	0			0	0	0	0	0	0	0
c7f94693	SansObjectif	Slayer:Arena Super Fiesta	Bazaar	501	51	4690	1	non	false	0	0	0	0			0	0	0	0	0	0	0
d1dfbc02	SansObjectif	Slayer:Arena Super Fiesta	Prism	606	51	5987	1	non	false	0	0	0	0			0	0	0	0	0	0	0
fccc61cd	SansObjectif	Slayer:Arena Super Fiesta	Launch Site	567	51	5472	1	non	false	0	0	0	0			0	0	0	0	0	0	0
32d9a94f	Strongholds	Strongholds:Arena	Perilous	450	51	4418	1	non	false	0	0	0	3	55	48	0	0	148	148	0	0	8
396cfc92	Strongholds	Strongholds:Arena	Illusion	523	51	5019	1	non	false	0	0	0	3	58	53	0	0	152	152	0	0	10
572e236b	Strongholds	Strongholds:Arena	Fortress	431	51	4267	1	non	false	0	0	0	3	45	41	0	0	143	143	0	0	10
81c02726	Strongholds	Strongholds:Arena	Isolation	321	51	3170	1	non	false	0	0	0	3	35	33	0	0	92	92	0	0	8
e60aaf06	Strongholds	Strongholds:Arena	Banished Narrows	415	51	3871	3	non	false	0	0	0	3	12	10	0	0	154	24	130	0	8
0891225f	SansObjectif	Team Slayer:Arena	Perilous	533	51	5306	1	non	false	0	0	0	0			0	0	0	0	0	0	0
1b2d9e08	SansObjectif	Team Slayer:Arena	Dynasty	550	51	5470	1	non	false	0	0	0	0			0	0	0	0	0	0	0
28c9b538	SansObjectif	Team Slayer:Arena	Chasm	710	51	7137	1	non	false	0	0	0	0			0	0	0	0	0	0	0
2cf24f30	SansObjectif	Team Slayer:Arena	Snowbound	416	51	3985	1	non	false	0	0	0	0			0	0	0	0	0	0	0
30a23d15	SansObjectif	Team Slayer:Arena	Critical Dewpoint	508	51	4934	1	non	false	0	0	0	0			0	0	0	0	0	0	0
3923bede	SansObjectif	Team Slayer:Arena	Recharge	663	51	6655	1	non	false	0	0	0	0			0	0	0	0	0	0	0
4577fcc4	SansObjectif	Team Slayer:Arena	Curfew	561	51	5606	1	non	false	0	0	0	0			0	0	0	0	0	0	0
4bd6de5a	SansObjectif	Team Slayer:Arena	Solution	530	51	5238	1	non	false	0	0	0	0			0	0	0	0	0	0	0
94a28b8b	SansObjectif	Team Slayer:Arena	Aquarius	598	51	5686	1	non	false	0	0	0	0			0	0	0	0	0	0	0
a03a5e65	SansObjectif	Team Slayer:Arena	Opulence	417	51	4175	1	non	false	0	0	0	0			0	0	0	0	0	0	0
a4083bd2	SansObjectif	Team Slayer:Arena	The Pit	621	51	5936	3	non	false	0	0	0	0			0	0	0	0	0	0	0
a6ae19fb	SansObjectif	Team Slayer:Arena	Kiken'na	495	51	4935	1	non	false	0	0	0	0			0	0	0	0	0	0	0
ac03413d	SansObjectif	Team Slayer:Arena	Empyrean	624	51	6190	1	non	false	0	0	0	0			0	0	0	0	0	0	0
af3500aa	SansObjectif	Team Slayer:Arena	Nemesis	604	51	5551	1	non	false	0	0	0	0			0	0	0	0	0	0	0
b0fe12b1	SansObjectif	Team Slayer:Arena	Origin	496	51	4710	1	non	false	0	0	0	0			0	0	0	0	0	0	0
bfecd02b	SansObjectif	Team Slayer:Arena	Snowbound	510	51	5033	1	non	false	0	0	0	0			0	0	0	0	0	0	0
d8b13ec2	SansObjectif	Team Slayer:Arena	Goliath	742	51	7389	1	non	false	0	0	0	0			0	0	0	0	0	0	0
daaa17d6	SansObjectif	Team Slayer:Arena	Isolation	550	51	5448	1	non	false	0	0	0	0			0	0	0	0	0	0	0
e85d7bad	SansObjectif	Team Slayer:Arena	Recharge	511	51	5141	1	non	false	0	0	0	0			0	0	0	0	0	0	0
f0220a96	SansObjectif	Team Slayer:Arena	Starboard	544	51	5185	1	non	false	0	0	0	0			0	0	0	0	0	0	0
faff9935	SansObjectif	Team Slayer:Arena	Shogun	542	51	5271	1	non	false	0	0	0	0			0	0	0	0	0	0	0
